사업장명,분류,카카오맵ID,리뷰어이름,리뷰어레벨,후기개수,별점평균,팔로워수,작성일,별점,리뷰내용,사진URL
순대일번지,순대,821235252,김희성,2,5,5,0,2024.11.29.,5.0,N/A,N/A
순대일번지,순대,821235252,ilililiiiil,18,40,4.2,0,2024.11.16.,5.0,순대 진짜 맛있네요 그리고 밥이 무한리필임,N/A
순대일번지,순대,821235252,뮴뮴,11,22,5,1,2024.11.01.,5.0,"진한 국물, 부드러운 고기, 쫄깃+부드러운 머릿고기, 통통한 순대, 아삭한 김치. 친절한 직원, 깨끗한 가게 내부. 든든한 국밥",N/A
순대일번지,순대,821235252,Boink (김봉균),53,276,4.1,239,2024.10.26.,4.0,The 순대국 was delicious. The 순대 wasn't the store bought commercially made one's. The taste was way better than other shop's.,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1d2baedd991e435725d326dc35392ed14d1e0f39%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9e3f5097ec235ef6872e8db8fa35d7373a79e2bc%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb7071f3254d19a5d86214b7e9799e91fb7d1ac53%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffa3ea968fbfe3b3c6030358bd492f06a43ba754b%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc146635c470ddd49f2b609abf3e541377138c577%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff816c7b6c4ea2e06da9551adc496964357adbcbc%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F20873186d440483b9176a0ce6a7c91e4db8aa735%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F454ad43068bc640f0a5dd905f7659ca824839fae%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc9c1229ee8005ca220ce928796fb4983581b5a42%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdf7052379c8d31a225fe390925dbebef8f1ac998%3Foriginal']"
순대일번지,순대,821235252,TEO,29,68,4.1,1,2024.09.29.,5.0,먹고나서도 속편하고 순대자체가 제대로인 식당을 찾은것 같네요~ 다음엔 수육 혹은 순대랑 한잔해봐야겠네요~👍🏼,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0bdef3ab83d9b90c3f6d132b0dc9381adbd9e3fa%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F95238983df900dbc438780fb5cfc9ce14238aed9%3Foriginal']"
순대일번지,순대,821235252,MW BAK,30,50,3.8,8,2024.07.26.,4.0,"이곳에 아쉬움은 2층에 있다는 점이다.술한잔 마신이들이 2층을 올라갓다 내려가긴 여간 부담스럽다.우선 양은 좋다.보통임에도 양도 좋고, 순대가 당면순대가 아닌점에 매력이 있다.수육도 나름 구성이 좋다.정말 잘먹었다.사장님도 엄청 친절하시다.","['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe8886d6a50145b370ca0280eeb7ae241120ed0b1%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3641fac332d4141bd525b5dca11e39efa2c4c19e%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F888192269baea5237cbc599c800c734d880aa77b%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F87dc636dcefddb88b4204b2d823da1a668ae78de%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7e98f1e760618e586348979f16ed9a45fb999a1f%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6975ea3bc9175e9bfc0ff39d2db5a155961cfb90%3Foriginal']"
하이아시아,아시아음식,2034930781,jess,4,7,3.9,0,2025.05.08.,5.0,"진짜 맛있어요,,,","['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4cf110e0905ed2cadbdd6562a6aa5471f05a01d4%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F54f8a07ac19e8096aae7cd1208d52bec7b954d3e%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb1a2dbaf4f3838331c6e93641ff6ce3ecf9a921c%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd0859047a81bc942c26ba41ae49e4c51bdbf2dc6%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F87b52a69357d0afdeaf75f11e7ec2ba3a8cb78e0%3Foriginal']"
주실,일식,1872261259,허제,5,11,5,1,2025.05.05.,5.0,뭐하나 빠지는게 없는 최고 맛집 술집,N/A
주실,일식,1872261259,우주밖,2,2,5,0,2025.05.05.,5.0,생긴지 얼마 안됐는데 하이볼 이벤트도하고홀보는 직원분이 굉장히 친절하세요!!연남 오면 꼭 들려보세요!!,N/A
리플리,한식,495088563,김형명,3,1,5,0,2025.04.09.,5.0,썸녀랑...인도덮밥?? 밥먹으러 들어갓다가...술땡겻 스지전골인가 뭔가 시켜서 먹음...집에 어찌 왔는지 기억상실....썸녀 연락두절...생각만 해도 열받네,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1886699e88ddf627699c2508345204da85301066%3Foriginal']
리플리,한식,495088563,새다반,6,2,3,0,2025.04.09.,5.0,길다가 반지하라 이뻐서 들렸는데 소주 맛집임안주가 스지전골이랑 마무리에 들기름막국수?시켯는데 둘이서 소주 엄청마셨음.,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F17b8cf8309d66a0f90e01f51a3bf9645459f355b%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd99a9da7d592b5cacefacc8939987219f5934957%3Foriginal']"
연남잿불,일식,1541222148,오주석,1,1,5,0,2025.05.12.,5.0,맛있어요,N/A
연남잿불,일식,1541222148,융융융,2,1,5,0,2025.05.10.,5.0,썸탈때 와야함,N/A
고스트블랙 연남,"육류,고기",1505995039,김밥,35,162,4.1,5,2025.04.04.,1.0,흠..ㅜㅜ 예전에 성수에서 텍사스 바베큐를 너무 맛있게 먹었던 기억이 있어서 근처에도 있나 찾아보고 갔는데 소스부터 너무 달고 물리는 맛이고 고기가 일단 퍽퍽해요… 전체적으로 너무 퍽퍽해 ㅠㅠ 육즙 다 날라간 느낌. 브리스킷이든 폴드포크든 엄청 연하고 육즙 녹는맛에 반한건데 아쉽네오.. 코울슬로도 넘 성의 없음. 심지어 소시지는 고무같아요..? 아예 손도 안댔어요 ㅠㅠ바베큐 맛집 저장 실패,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe62b5aaeff8bfe6f78f94d42ad103ac198323dd6%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff5d44a389d2051ad564568426142a08b73f1e5db%3Foriginal']"
고스트블랙 연남,"육류,고기",1505995039,Jon,3,2,3,0,2025.02.01.,1.0,이정도 비싼데 이정도 맛없는건 처음 경험해봄,N/A
고스트블랙 연남,"육류,고기",1505995039,🦧,28,85,4.3,3,2025.01.18.,1.0,와인킹 팝업 통해서 경험. 10분이면 나오는 걸 30분 걸린다고 응대 가서 받으려하니 다 식어서 삼겹살에 기름이 낌. 직원 마인드가 맛탱이 갔음 안봐도 훤하네요.^^,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdaed2170d9cf93953307d775976b814492aeed736acba636a6ae18699e223296']
고스트블랙 연남,"육류,고기",1505995039,ㅡ,10,5,4.6,1,2025.01.17.,3.0,친절하시고 분위기도 좋으나…바베큐 특성상 갓 만들 수 없지만. 너무 건조하고 퍽퍽한 느낌이 있습니다 ㅠㅠ 구성에는 따스함이 있지만 고기는 차가워요… 딱 뎁히기만 하시는 느낌이라 조굼 실망했습니다…그리고 바베큐 통에 담아서 열어주시는걸 기대했는데 해당 플래터는 그게 없나보네요……?엄청 맛없다는 아닙니다!! 질긴 식감과..육즙이 없는게 아쉬웠을 뿐이에요.. 차라리 예약제로 변경 하셔서 좀 더 따뜻하고 갓 나온 느낌으로 개선하시는게 좋을 것 같습니다…ㅠㅠ양은 많고 괜찮았는데 많이 아쉬운 맛이었네용..,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F575893eff11c3ced3af33b810c355160b5a06d8e%3Foriginal']
고스트블랙 연남,"육류,고기",1505995039,💚 ᴍɪʏᴀ 💚,72,1017,4.3,241,2024.12.29.,4.0,양이 좀 적긴 한데 맛은 있었어요.,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2cf72779fa8dd6f9106a8092b620fa1672a6e00b%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7705b069e96b3524ddd65f53f354caf687e85f94%3Foriginal']"
고스트블랙 연남,"육류,고기",1505995039,숨,3,1,4,0,2024.12.23.,4.0,"장점비프립 베이스 플래터 : 고기 맛있고 코울슬로와 빵이 고기와 잘 어울려서 함께 먹기 좋았음. 그렇게 먹다 보면 생각보다 양이 적진 않았음. 단점사이드메뉴가 전부 단점이었음.1. 미트파이 처음 먹어봐서 기대했는데 기대이하긴 했지만 단짠단짠에 고기가 가득해서 나쁘진 않은 편. 익숙하지 않아 그런 거라 생각함.2. 감자튀김 바닥을 보면 굵은 소금과 갈릭 양념이 섞여 있었는데 소금을 잘못 친건지, 제대로 처리를 못한건지 뭔지는 모르겟는데 일부는 정상이고 일부는 굉장히 짜서 뱉었음. 이런 감자튀김 진짜 처음봤고 ... 복불복 게임인가..? 3. 비빔면 참기름 범벅. 고기랑 잘 어울릴 것 같아 시켰는데 보편적으로 생각하는 맛 이하였음. 참기름 맛이 너무 나고 양념맛은 별로 안나서 고기랑 함께 먹기에는 느끼했음. 그냥 팔도비빔면 끓여서 함께 먹는게 나을듯.추가로 입구쪽이 쓰레기를 모아 두는 곳이라 들어갈 때 좀 눈살 찌푸려짐. 내부는 깔끔!그럼에도 불구하고 재방문 의사가 있는 이유는 재방문하여 고기만 먹으면 되겠다고 생각했기 때문. 고기는 맛있음. 친구들도 메인은 맛있다고 했음.","['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0c19092621274a6de47ddbf4323472ca21fead21%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4568b15ed5457fd104d9d0da2c68924753f9043f%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F075c67d94c5904aa5b666990d4e0a9b78aa54287%3Foriginal']"
고스트블랙 연남,"육류,고기",1505995039,가을꽃,11,23,3.6,0,2024.12.11.,1.0,리뷰 주작 보정,N/A
고스트블랙 연남,"육류,고기",1505995039,js,14,12,3.7,0,2024.11.15.,1.0,후기 작업 가성비 최악 맛없음,N/A
고스트블랙 연남,"육류,고기",1505995039,무탈,34,80,1.7,6,2024.11.07.,1.0,"별점 주작 가게 거르는 방법 알려준다.1. 후기 탭2. 최신순3. 제일 아래로 내려서 찬찬히 보면서 올라옴.4. 올라온 후기들 날짜 간격 확인(하루, 이틀 텀 두고 계속 별점 5점 짜리 극찬 리뷰 올라오면 거르기) + 그 극찬 리뷰들의 평점 확인(죄다 평점 5점이면 광고)5. 결론: 이 가게는 거른다.",N/A
고스트블랙 연남,"육류,고기",1505995039,김도경,5,2,2,0,2024.11.04.,3.0,왜 여기다 리뷰하는지 알겠음네이버 리뷰 예약자 아니면 리뷰 안됨맛 굿 분위기 굿 가격 괜찮음 단점1. 직원들 난리임 막 유튭해라 서로 18욕하고 손님인 내가 왜 저런걸 들으면서 음식 먹고 있는지 모르겠음 가족 같은거나 친구 처럼 하는건 좋은데 이게 입장과 동시에 음식 나오기도 전부터 욕만 들려서 두번은 안갈듯2. 삼겹살로 만든건데 이름은 기억 안남 보쌈처럼 나오는건데(사진)위 아래 2층 구조인데 위쪽은 맛있는거 놓고아래는 비계덩어리임 진심 아래층 단 한개도 못 먹음(4인 세트인데 이렇게 장사할꺼면 안했으면)3. 사진속에는 살사소스나 기타 소스 사진 4개로 나오는데 정작 나오는건 크림소스?랑 바베큐 소스가 끝,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb2b0800398fa8d3090bc826ebbd7d1ba62b631e8%3Foriginal']
고스트블랙 연남,"육류,고기",1505995039,김동수,7,5,2.6,0,2024.10.03.,1.0,후기도 광고써서한 티 나고 유튜브도 열심히 광고하는거같은데 실제 방문자들 댓글이 작살나니까 곧 없어질 매장같음,N/A
고스트블랙 연남,"육류,고기",1505995039,리쉬부르 백작,49,339,3.4,29,2024.09.29.,1.0,N/A,N/A
고스트블랙 연남,"육류,고기",1505995039,수고,15,16,3.3,0,2024.09.20.,1.0,진짜 절대 가지마세요. 밑에 후기처럼 ㅈㄴ 맛없습니다.,N/A
고스트블랙 연남,"육류,고기",1505995039,김경태,2,1,1,0,2024.09.17.,1.0,ㅎㄷㄷㄷ합니다,N/A
고스트블랙 연남,"육류,고기",1505995039,꽁냥꽁냥,27,65,3.2,3,2024.09.15.,4.0,분위기 깡패,N/A
고스트블랙 연남,"육류,고기",1505995039,똥판,18,24,3.5,1,2024.09.14.,1.0,N/A,N/A
고스트블랙 연남,"육류,고기",1505995039,dy♥,4,2,5,0,2024.09.10.,5.0,엥 네이버후기 보고 갔는데 너무 맛있는데....;카맵후기 자체가 방문확인 안된 분들이 달 수 있어서 이 맛을 시기하는 사람들이 막 악플달았나봐요;;문득 갔던 곳이라 보니 저 사람들이 댓글조작이네요ㅋㅋㅋ여튼 엄청 맛있고 부드럽고 최고에요!! 친구들이랑 주로 한식만 드시던 저희 외할머니도 맛있고 즐겁게 식사하고 가셨어요🩷 감사합니다!!,"['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F29116641e57386dbb06d890b38bb8875046458f8%3Foriginal', '//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8bd316ca08e5eb93e6f90bea16955f5aa06ddf12%3Foriginal']"
고스트블랙 연남,"육류,고기",1505995039,강병창,4,1,1,0,2024.09.08.,1.0,이렇게 후기를 남기는 성격이 아닌데 예약하고 20분 기다리고 음식도 주문하고 나오는 속도가 뭐하는 건지 기다리고 받음 음식 수준이 너무 떨어져서 기분이 팍 상했습니다. 맥주를 시켰는데 안나와서 다시 직원한테 말해서 그제야 주는 것도 어이가 없었고 계산할 때 사장 태도도 마음에 안들어서 다른분들은 광고에 속지 않으셨으면 좋겠습니다.,N/A
고스트블랙 연남,"육류,고기",1505995039,MJ,26,192,3.7,5,2024.09.07.,2.0,N/A,N/A
고스트블랙 연남,"육류,고기",1505995039,1점은절대가지말라는뜻,41,219,3.1,38,2024.09.06.,1.0,후기 조작하는 곳은 최대한 빠르고 확실하게 망하는 게 모두에게 이롭다.,N/A
베리머치,디저트카페,720117613,ㅇㅇ,33,116,4.8,5,2025.04.13.,5.0,아사이볼 첨 먹어봤는데 맛있네요! 가격은 8천원인데 재료 많이 들어가거 양 많은 스무디라 생각하먄 괜찮은듯?,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F01ef210f995997180b7f94cc8ac5d07ed2602acd%3Foriginal']
리틈,디저트카페,65099509,HP,12,11,4.6,1,2025.05.08.,5.0,매장도 커피도 사장님도 깔끔. 비오는 평일 아침에 혼자 다시 와보고싶은 나만 알고싶은 카페,['//img1.kakaocdn.net/cthumb/local/C280x280.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1b5209fa98d1824ddad77aa731bb771bb2542a15%3Foriginal']
