사업장명,소재지전체주소,도로명전체주소,좌표정보X(EPSG5174),좌표정보Y(EPSG5174),상세보기url
연남잿불,서울특별시 마포구 연남동 387-4,"서울특별시 마포구 동교로 266-8, 維豪-위호 1층 101호 (연남동)",193361.592453338,451192.984660161,https://place.map.kakao.com/1541222148
청년피자 서교연남점,서울특별시 마포구 연남동 478-18,"서울특별시 마포구 성미산로19길 60, 1층 103호 (연남동, 만민하늘애)",192685.333459105,451346.719547206,https://place.map.kakao.com/634933938
고스트블랙 연남점,서울특별시 마포구 연남동 383-35,"서울특별시 마포구 연희로1길 45-6, 지하1층 (연남동)",193386.955605552,451002.38424737,https://place.map.kakao.com/1505995039
베리머치(Berry Much),서울특별시 마포구 연남동 227-5,"서울특별시 마포구 동교로46길 42, 1층 일부 101호 (연남동)",193462.794150146,451092.249061169,https://place.map.kakao.com/720117613
리틈,서울특별시 마포구 연남동 566-56,"서울특별시 마포구 연남로 19, 1층 동쪽 101호 (연남동)",193075.937335555,451008.673866837,https://place.map.kakao.com/65099509
윅스(weXX),서울특별시 마포구 연남동 260-31,"서울특별시 마포구 동교로34길 3, 3층 (연남동)",193264.181665206,450977.944612478,https://place.map.kakao.com/900233708
감성커피 연남동점,서울특별시 마포구 연남동 390-60,"서울특별시 마포구 동교로38길 21, 1층 (연남동)",193344.321989788,451076.866691381,https://place.map.kakao.com/1125434560
배드피쉬,서울특별시 마포구 연남동 381-9,"서울특별시 마포구 동교로34길 14, B102호 (연남동)",193311.239124724,450957.281999917,https://place.map.kakao.com/723426297
미래회관 연남점,서울특별시 마포구 연남동 260-27,"서울특별시 마포구 동교로 242, 2층 (연남동)",193256.457922551,451016.892759855,https://place.map.kakao.com/1906501588
동동,서울특별시 마포구 연남동 390-65,"서울특별시 마포구 동교로38안길 11, 3층 (연남동)",193280.679384547,451125.901302138,
아티스트보틀클럽,서울특별시 마포구 연남동 504-50,"서울특별시 마포구 성미산로22길 18, 프로젝트 에이 A동 1층 (연남동)",192947.554318315,451088.949816871,https://place.map.kakao.com/913507076
바모스(vamos)커피,서울특별시 마포구 연남동 387-24,"서울특별시 마포구 동교로46길 14, 지1층 (연남동)",193346.584146218,451120.998334039,https://place.map.kakao.com/1507559838
라멘파이터즈,서울특별시 마포구 연남동 383-44,"서울특별시 마포구 동교로38길 27-14, 지1층 일부호 (연남동)",193409.791440889,451079.142850483,https://place.map.kakao.com/1040887656
스프링 베이커리,서울특별시 마포구 연남동 256-8,"서울특별시 마포구 성미산로32길 51, 지1층02호,1층102호 (연남동)",193091.742694486,451165.040128645,https://place.map.kakao.com/2131688327
프라이즈데이,서울특별시 마포구 연남동 385-4,"서울특별시 마포구 동교로46길 25, 지1층 우측호 (연남동)",193407.881523287,451116.914075611,https://place.map.kakao.com/2025336467
겸사서울,서울특별시 마포구 연남동 228-8,"서울특별시 마포구 성미산로 184, 2층 202호 (연남동)",193382.874474598,451211.507658215,https://place.map.kakao.com/1281277928
우노,서울특별시 마포구 연남동 228-34,"서울특별시 마포구 동교로 256-3, 미소빌딩 1층 (연남동)",193307.426713765,451152.36813296,https://place.map.kakao.com/1113361004
진청유점,서울특별시 마포구 연남동 385-3,"서울특별시 마포구 동교로46길 27, 1층 (연남동)",193418.042281243,451112.929150723,https://place.map.kakao.com/645262533
펠른(perlen),서울특별시 마포구 연남동 504-50,"서울특별시 마포구 성미산로22길 18, 프로젝트 에이 A'동 1층 (연남동)",192947.554318315,451088.949816871,https://place.map.kakao.com/1903612745
타임투타코(Time To Taco),서울특별시 마포구 연남동 223-90,"서울특별시 마포구 동교로51길 57, 3층 (연남동)",193202.923060968,451492.151571454,
오까르베,서울특별시 마포구 연남동 223-16,"서울특별시 마포구 동교로51안길 19, 1층 (연남동)",193240.290482674,451434.403435107,https://place.map.kakao.com/812309778
우삼집,서울특별시 마포구 연남동 260-39,"서울특별시 마포구 동교로34길 11, 1층,2층 (연남동)",193304.976729811,450975.425613892,https://place.map.kakao.com/1716507606
노체,서울특별시 마포구 연남동 373-14,"서울특별시 마포구 동교로 227-5, 2층 201호 (연남동)",193186.501074978,450923.359419415,https://place.map.kakao.com/1137293442
베홍리,서울특별시 마포구 연남동 245-49,"서울특별시 마포구 성미산로29길 29-9, 1,2층 (연남동)",193011.868411857,451421.718034707,https://place.map.kakao.com/1156218333
첨밀밀,서울특별시 마포구 연남동 487-378,"서울특별시 마포구 성미산로 97, 지1층 1호 (연남동)",192695.252010033,451036.790133723,https://place.map.kakao.com/211150407
감정선프로젝트 베이킹 홍대연남점,서울특별시 마포구 연남동 562-26,"서울특별시 마포구 동교로27길 83, 2층 2-1호 (연남동)",192862.762080488,450994.546853748,https://place.map.kakao.com/143295890
김부자네,서울특별시 마포구 연남동 385-12,"서울특별시 마포구 동교로46길 21, 2층 (연남동)",193381.15472083,451116.100820588,https://place.map.kakao.com/89566137
꽁블s(뻴르멜르),서울특별시 마포구 연남동 240-28,"서울특별시 마포구 성미산로 153-14, 1층 (연남동)",193141.662743032,451417.767663766,
은성 돌판한우구이 연남점,서울특별시 마포구 연남동 228-8,"서울특별시 마포구 성미산로 184, 1층 102호 (연남동)",193382.874474598,451211.507658215,https://place.map.kakao.com/1268960245
마코토시,서울특별시 마포구 연남동 224-6,"서울특별시 마포구 동교로50길 11, 1층 202호,203호 (연남동)",193461.232053564,451263.122994862,https://place.map.kakao.com/397253961
녹녹,서울특별시 마포구 연남동 249-11,"서울특별시 마포구 성미산로 139, 1층 (연남동)",193033.401243147,451286.615227496,
와린(WARIN),서울특별시 마포구 연남동 390-84,"서울특별시 마포구 동교로38길 26-6, 1층 (연남동)",193327.06924917,451054.49600398,https://place.map.kakao.com/690539481
에브리싱글데이,서울특별시 마포구 연남동 390-44,"서울특별시 마포구 동교로38길 27-4, 지층 (연남동)",193371.108570627,451043.925684971,https://place.map.kakao.com/603603287
비뮤티 커피,서울특별시 마포구 연남동 515-2,"서울특별시 마포구 연남로5길 9, 1층 102호 (연남동)",192987.457657801,451088.430676409,https://place.map.kakao.com/1071445829
김치돼학교 홍대점,서울특별시 마포구 연남동 224-14,"서울특별시 마포구 동교로52길 4-3, 지하1층 좌측호 (연남동)",193461.213424863,451300.177583719,https://place.map.kakao.com/694684599
테이트하우스(TATE HOUSE),서울특별시 마포구 연남동 563-7,"서울특별시 마포구 월드컵북로8길 34, 1층 (연남동)",192754.89049299,450856.362875914,https://place.map.kakao.com/1304218271
티아이지디(TIGD),서울특별시 마포구 연남동 257-20,"서울특별시 마포구 동교로29길 40, 건수빌딩 1층 (연남동)",193125.419133793,451112.044440923,
유히(YUHI),서울특별시 마포구 연남동 562-37,"서울특별시 마포구 연남로3길 40, 1층 103호 (연남동)",192910.781938563,450930.161588632,https://place.map.kakao.com/472005823
멘야코이시,서울특별시 마포구 연남동 224-39,"서울특별시 마포구 동교로 272-7, 1층 (연남동)",193413.7074344,451245.305737383,https://place.map.kakao.com/711319882
성산회관,서울특별시 마포구 연남동 229-12,"서울특별시 마포구 동교로 263, 1층,2층,3층,4층 (연남동)",193316.672697089,451222.290516282,https://place.map.kakao.com/275123856
포포민즈낫띵,서울특별시 마포구 연남동 384-2,"서울특별시 마포구 동교로46길 28, 1,2층 (연남동)",193410.453030722,451101.659652676,https://place.map.kakao.com/420326977
주식회사 마사비스,서울특별시 마포구 연남동 239-49,"서울특별시 마포구 성미산로 150, 1층 (연남동)",193147.178189567,451316.953126711,
웍스터(WOKSTER),서울특별시 마포구 연남동 562-36,"서울특별시 마포구 동교로27길 71, 1층 102호 (연남동)",192903.123555568,450940.775060703,https://place.map.kakao.com/1018469523
스테이 피(stay P),서울특별시 마포구 연남동 228-56,"서울특별시 마포구 동교로38안길 3, 2층 (연남동)",193272.114328251,451076.1071872,https://place.map.kakao.com/567827940
시샤 누에보(SHISHA NUEVO),서울특별시 마포구 연남동 228-58,"서울특별시 마포구 동교로38길 5, 3층 (연남동)",193269.216055509,451064.771210131,https://place.map.kakao.com/1092400683
모뎐,서울특별시 마포구 연남동 565-38,"서울특별시 마포구 연남로1길 50, 1층 (연남동)",192902.219012477,450833.950302243,https://place.map.kakao.com/534985175
Osds 파르크,서울특별시 마포구 연남동 240-50,"서울특별시 마포구 성미산로29길 12, 지1,1층 (연남동)",193102.597013764,451378.703323984,https://place.map.kakao.com/852131458
흰그루,서울특별시 마포구 연남동 244-22,"서울특별시 마포구 성미산로27길 51, 1층 (연남동)",192921.199032074,451512.513743319,https://place.map.kakao.com/1303834041
노노스탄테,서울특별시 마포구 연남동 566-60,"서울특별시 마포구 연남로3길 7, 1층 (연남동)",193051.198920836,451008.409700801,https://place.map.kakao.com/2104462923
미(mi),서울특별시 마포구 연남동 375-108,"서울특별시 마포구 동교로51길 133-1, 1층 (연남동)",192841.439128559,451574.679008668,
이퀄(equal=),서울특별시 마포구 연남동 387-31,"서울특별시 마포구 성미산로 190-31, 1층 (연남동)",193377.485573213,451141.70755605,https://place.map.kakao.com/1500336285
메디아루나(MEDIALUNA),서울특별시 마포구 연남동 567-20,"서울특별시 마포구 월드컵북로6길 81, 2층 (연남동)",193062.774468443,450875.949267566,https://place.map.kakao.com/2132890149
셀로나(Celona),서울특별시 마포구 연남동 241-16,"서울특별시 마포구 성미산로29안길 19, 지1층 (연남동)",193152.952756949,451459.248709145,https://place.map.kakao.com/1617034585
몽포,서울특별시 마포구 연남동 387-26,"서울특별시 마포구 동교로46길 20, 2층 (연남동)",193368.678185719,451104.523047212,https://place.map.kakao.com/1309986705
화청,서울특별시 마포구 연남동 245-75,"서울특별시 마포구 성미산로27길 44, 지하1층,1층 (연남동)",192950.104914938,451480.983951429,https://place.map.kakao.com/1509920002
팻어케이크(Pat a cake),서울특별시 마포구 연남동 383-38,"서울특별시 마포구 연희로1길 45, 2층 (연남동)",193385.328707625,450975.789710327,https://place.map.kakao.com/1501247421
죠죠 연남점(JYO JYO),서울특별시 마포구 연남동 229-51,"서울특별시 마포구 동교로 255-1, 1층 (연남동)",193262.250471771,451174.119567984,
용왕포차,서울특별시 마포구 연남동 228-39,"서울특별시 마포구 동교로 256-4, 지층 (연남동)",193297.893072879,451140.346258814,https://place.map.kakao.com/1099000913
스시미가쿠,서울특별시 마포구 연남동 241-3,"서울특별시 마포구 동교로51길 69, 아이에프비씨 1층 (연남동)",193139.305606087,451504.486113437,https://place.map.kakao.com/627355306
돼지와플&요거트아이스크림 홍대연남점,서울특별시 마포구 연남동 487-439,"서울특별시 마포구 성미산로15길 72, 지층 일부호 (연남동, 테이크 원)",192601.185579805,451344.925370638,https://place.map.kakao.com/1349222715
구공분식 홍대 연남점,서울특별시 마포구 연남동 487-439,"서울특별시 마포구 성미산로15길 72, 지층 (연남동, 테이크 원)",192601.185579805,451344.925370638,https://place.map.kakao.com/100802963
청백,서울특별시 마포구 연남동 387-4,"서울특별시 마포구 동교로 266-8, 維豪-위호 1층 우측 102호 (연남동)",193361.592453338,451192.984660161,https://place.map.kakao.com/1617942788
파네트 에그타르트,서울특별시 마포구 연남동 255-19,"서울특별시 마포구 동교로41길 3, 1층 (연남동)",193224.195539468,451138.796058665,https://place.map.kakao.com/2133745694
베비돌,서울특별시 마포구 연남동 382-16,"서울특별시 마포구 동교로38길 38, 2층 (연남동)",193360.423708526,450989.968534989,https://place.map.kakao.com/105942457
연남선샤인,서울특별시 마포구 연남동 226-14,"서울특별시 마포구 연희로 39, 4층 일부호 (연남동)",193504.422765184,451128.233048145,https://place.map.kakao.com/1204376912
마데라(Madera),서울특별시 마포구 연남동 244-8,"서울특별시 마포구 성미산로23안길 19, 1층 (연남동)",192942.134605214,451526.086542953,https://place.map.kakao.com/1304089937
연남술비,서울특별시 마포구 연남동 381-9,"서울특별시 마포구 동교로34길 14, 1층 101호 (연남동)",193311.239124724,450957.281999917,https://place.map.kakao.com/1333610273
페이블테이블(fable table),서울특별시 마포구 연남동 487-255,"서울특별시 마포구 월드컵북로16길 53, 지하1층 (연남동)",192630.132623391,451220.838482658,https://place.map.kakao.com/1345840315
카프(CAFF),서울특별시 마포구 연남동 229-64,"서울특별시 마포구 동교로 253, 3층 (연남동)",193249.521562855,451149.663644775,
브루클린 푸드 트레일러 연남점,서울특별시 마포구 연남동 365-5,"서울특별시 마포구 연남로 77, 1층 (연남동)",192761.244946068,451499.169839154,https://place.map.kakao.com/1937811252
해옫 연남,서울특별시 마포구 연남동 241-37,"서울특별시 마포구 성미산로29길 30, 1층 (연남동)",193056.647639196,451451.340514669,https://place.map.kakao.com/219613694
주원(JOOWON),서울특별시 마포구 연남동 382-27,"서울특별시 마포구 동교로38길 30, 27번지 3층 (연남동)",193345.902898625,451031.460237722,https://place.map.kakao.com/2040326553
이오,서울특별시 마포구 연남동 361-14,"서울특별시 마포구 연남로 93, 1층 (연남동)",192658.00578361,451620.662315826,https://place.map.kakao.com/2044478781
청춘물약,서울특별시 마포구 연남동 255-21,"서울특별시 마포구 동교로39길 4, 1층 가운데호 (연남동)",193219.11,451119.814999999,https://place.map.kakao.com/25068886
순대일번지,서울특별시 마포구 연남동 259-10,"서울특별시 마포구 동교로 239, 창무빌딩 2층 (연남동)",193223.878781383,451000.669732163,https://place.map.kakao.com/821235252
이이요이 연남,서울특별시 마포구 연남동 373-6,"서울특별시 마포구 연남로 12, 1층 (연남동)",193153.022684011,450954.945733374,https://place.map.kakao.com/566743897
테라다식당 연남점,서울특별시 마포구 연남동 228-57,"서울특별시 마포구 동교로 248, 1층 일부호 (연남동)",193261.173665945,451076.046783943,https://place.map.kakao.com/1683090567
귀차니즘,서울특별시 마포구 연남동 390-65,"서울특별시 마포구 동교로38안길 11, 1층 일부호 (연남동)",193280.679384547,451125.901302138,
풀린(fullin),서울특별시 마포구 연남동 250-28,"서울특별시 마포구 성미산로 143, 1층 (연남동)",193067.931840441,451298.314023018,https://place.map.kakao.com/388119600
요고미,서울특별시 마포구 연남동 390-65,"서울특별시 마포구 동교로38안길 11, 1층 일부호 (연남동)",193280.679384547,451125.901302138,https://place.map.kakao.com/662580530
오뜨하우스,서울특별시 마포구 연남동 570-47,"서울특별시 마포구 월드컵북로6길 25, 1층 (연남동)",192844.739137466,450701.417864535,https://place.map.kakao.com/1628241862
고미,서울특별시 마포구 연남동 390-65,"서울특별시 마포구 동교로38안길 11, 1층 (연남동)",193280.679384547,451125.901302138,https://place.map.kakao.com/662580530
일파정,서울특별시 마포구 연남동 224-51,"서울특별시 마포구 동교로52길 20-4, 지층 1호 (연남동)",193499.540148587,451260.362009788,https://place.map.kakao.com/1750330857
커피 리브레,서울특별시 마포구 연남동 245-70,"서울특별시 마포구 성미산로29길 17-8, 1,2,지1층 (연남동)",193030.502157214,451385.637619263,https://place.map.kakao.com/19612352
일기,서울특별시 마포구 연남동 240-16,"서울특별시 마포구 성미산로29안길 18, 지층 101호 (연남동)",193147.442929836,451434.884631191,https://place.map.kakao.com/1889411038
그날연남,서울특별시 마포구 연남동 227-28,"서울특별시 마포구 성미산로 190-25, 1층 (연남동)",193386.29,451148.43,https://place.map.kakao.com/1014322464
원러브서울,서울특별시 마포구 연남동 487-24,"서울특별시 마포구 성미산로17길 105, 1층 일부 102호 (연남동)",192594.702416016,451538.163832114,https://place.map.kakao.com/1571954320
원석,서울특별시 마포구 연남동 260-38,"서울특별시 마포구 동교로34길 9, 1층 (연남동)",193297.510479302,450975.814076201,https://place.map.kakao.com/604931875
작심,서울특별시 마포구 연남동 229-10,"서울특별시 마포구 동교로 265, 5층 (연남동)",193327.256354075,451235.436122572,https://place.map.kakao.com/88973926
오오미소카,서울특별시 마포구 연남동 241-74,"서울특별시 마포구 성미산로29안길 19-7, 2층 (연남동)",193132.225237433,451458.208790218,https://place.map.kakao.com/1785536428
피자페이스오프,서울특별시 마포구 연남동 224-11,"서울특별시 마포구 동교로50길 9, 1층 (연남동)",193451.948500644,451274.781500758,https://place.map.kakao.com/662446407
헬로(Hello),서울특별시 마포구 연남동 227-16,"서울특별시 마포구 동교로46길 33, 1층 101호 (연남동)",193442.939463768,451116.059301992,https://place.map.kakao.com/22023254
샵샵 연남점,서울특별시 마포구 연남동 369-20,"서울특별시 마포구 연남로 45, 1층 102호 (연남동)",192928.022122924,451239.520321056,
연남상회,서울특별시 마포구 연남동 387-24,"서울특별시 마포구 동교로46길 14, 2층 (연남동)",193346.584146218,451120.998334039,https://place.map.kakao.com/1330695173
호랑이칡냉면(홍대직영점),서울특별시 마포구 연남동 228-2,"서울특별시 마포구 성미산로 190-4, 2층 일부 좌측호 (연남동)",193396.312538896,451175.258534614,https://place.map.kakao.com/1253684495
(주)메종드연남,서울특별시 마포구 연남동 223-17,"서울특별시 마포구 동교로51안길 17, 3층 (연남동)",193250.367189563,451432.92166872,
뉴페이즈(new phase),서울특별시 마포구 연남동 487-34,"서울특별시 마포구 성미산로17길 85, 2층 (연남동)",192615.331185163,451439.208747947,https://place.map.kakao.com/1614584781
벙홀,서울특별시 마포구 연남동 241-41,"서울특별시 마포구 성미산로29길 40-18, Plan M 3층 (연남동)",193090.516404165,451461.821646371,https://place.map.kakao.com/1054543977
문주가무,서울특별시 마포구 연남동 260-2,"서울특별시 마포구 동교로38길 12, 지하1층 좌측호 (연남동)",193300.575516572,451071.149864562,https://place.map.kakao.com/1712542364
히히히,서울특별시 마포구 연남동 245-43,"서울특별시 마포구 성미산로27길 34, 1층 104호,105호 (연남동)",192982.450369003,451428.394507498,
디막,서울특별시 마포구 연남동 390-41,"서울특별시 마포구 동교로38길 33-6, 지1층 (연남동)",193384.172591895,451018.101877242,https://place.map.kakao.com/29811442
쎄쎄쎄,서울특별시 마포구 연남동 224-55,"서울특별시 마포구 동교로50길 17, 1층 좌측호 (연남동)",193479.197176942,451244.821949019,
부에노 떡볶이,서울특별시 마포구 연남동 487-389,"서울특별시 마포구 동교로23길 79, 1층 101호 (연남동)",192704.452968562,450748.901413417,https://place.map.kakao.com/1217532990
카페포-옹,서울특별시 마포구 연남동 361-8,"서울특별시 마포구 연남로 88, 1층 (연남동)",192731.037534862,451603.770741157,https://place.map.kakao.com/904109649
연남향콩,서울특별시 마포구 연남동 228-57,"서울특별시 마포구 동교로 248, 2층 (연남동)",193261.173665945,451076.046783943,https://place.map.kakao.com/397183063
열정도 곱상,서울특별시 마포구 연남동 240-4,"서울특별시 마포구 성미산로 161-7, 1층 일부호 (연남동)",193195.078708019,451424.884334723,
하이촨촨,서울특별시 마포구 연남동 240-4,"서울특별시 마포구 성미산로 161-7, 1,2층 (연남동)",193195.078708019,451424.884334723,https://place.map.kakao.com/818178863
청월당,서울특별시 마포구 연남동 383-34,"서울특별시 마포구 연희로1길 45-4, 1층 (연남동)",193393.212918696,450997.834155725,https://place.map.kakao.com/1660171908
포담 티하우스,서울특별시 마포구 연남동 223-111,"서울특별시 마포구 성미산로 165-6, 동보빌딩 2층 일부호 (연남동)",193280.58439201,451391.545488928,https://place.map.kakao.com/1611311586
연남타코,서울특별시 마포구 연남동 240-16,"서울특별시 마포구 성미산로29안길 18, 1층 201호 (연남동)",193147.442929836,451434.884631191,https://place.map.kakao.com/2002936489
일체마부시,서울특별시 마포구 연남동 381-15,"서울특별시 마포구 동교로32길 19, 지층 왼쪽호 (연남동)",193340.266290577,450926.420870255,https://place.map.kakao.com/290272913
연희기획,서울특별시 마포구 연남동 255-19,"서울특별시 마포구 동교로41길 3, 지하1층 (연남동)",193224.195539468,451138.796058665,https://place.map.kakao.com/1671142421
혼시츠,서울특별시 마포구 연남동 223-79,"서울특별시 마포구 성미산로 167-7, 지하1층 (연남동)",193303.568991463,451374.463315344,https://place.map.kakao.com/1946350881
금별맥주 연남점,서울특별시 마포구 연남동 228-10,"서울특별시 마포구 동교로 268, 1층 (연남동)",193362.568699013,451223.445812328,https://place.map.kakao.com/1278646231
키슈앤피즈(Quiche Nfizz),서울특별시 마포구 연남동 241-47,"서울특별시 마포구 성미산로29길 32, 지하1층 (연남동)",193048.990629329,451461.269684439,https://place.map.kakao.com/1665751886
제리코 레서피,서울특별시 마포구 연남동 487-262,"서울특별시 마포구 성미산로17길 105-4, 1층 102호 (연남동)",192582.820138577,451551.500365288,https://place.map.kakao.com/1915180502
노띵크,서울특별시 마포구 연남동 227-1,"서울특별시 마포구 연희로 35, 2층 (연남동)",193478.255107747,451077.631724565,https://place.map.kakao.com/768931614
뽁당 볶음밥 홍대연남점,서울특별시 마포구 연남동 240-11,"서울특별시 마포구 성미산로 157-8, 지하1층 B02호 (연남동)",193182.77815056,451416.884395832,https://place.map.kakao.com/1322667728
고깃집 아들,서울특별시 마포구 연남동 241-88,"서울특별시 마포구 성미산로29안길 19-4, 1층 일부호 (연남동)",193156.709062227,451475.392344304,https://place.map.kakao.com/24894089
뮬,서울특별시 마포구 연남동 387-14,"서울특별시 마포구 동교로 262-8, 2층 (연남동)",193347.909328961,451167.55422482,
옐로우로즈,서울특별시 마포구 연남동 260-48,"서울특별시 마포구 동교로34길 6, 2층 201호 (연남동)",193274.842357172,450963.580281023,https://place.map.kakao.com/515297507
무심,서울특별시 마포구 연남동 383-72,"서울특별시 마포구 연희로1길 55, 3, 4층 (연남동)",193414.769585785,451006.573145838,https://place.map.kakao.com/1455452713
티브커피하우스(Teebcoffeehouse),서울특별시 마포구 연남동 223-95,"서울특별시 마포구 동교로51안길 11, 1,2층 (연남동)",193282.705474729,451431.05614257,https://place.map.kakao.com/871902983
삐딱,서울특별시 마포구 연남동 260-48,"서울특별시 마포구 동교로34길 6, 1층 (연남동)",193274.842357172,450963.580281023,https://place.map.kakao.com/1048769827
오늘은 육회 연어,서울특별시 마포구 연남동 228-2,"서울특별시 마포구 성미산로 190-4, 2층 일부 좌측호 (연남동)",193396.312538896,451175.258534614,https://place.map.kakao.com/1578286216
모닥불,서울특별시 마포구 연남동 390-21,"서울특별시 마포구 동교로46길 24-4, 1층 (연남동)",193380.063746659,451084.877538366,https://place.map.kakao.com/330762678
한식끝판왕 홍대점,서울특별시 마포구 연남동 487-51,"서울특별시 마포구 성미산로17길 59, 지1층 2호 (연남동)",192638.218911978,451316.018878936,https://place.map.kakao.com/483647108
양순덕전통김치찌개 홍대점,서울특별시 마포구 연남동 487-51,"서울특별시 마포구 성미산로17길 59, 지1층 1호 (연남동)",192638.218911978,451316.018878936,https://place.map.kakao.com/1170028334
양가네푸드 홍대점,서울특별시 마포구 연남동 487-51,"서울특별시 마포구 성미산로17길 59, 지1층 3호 (연남동)",192638.218911978,451316.018878936,https://place.map.kakao.com/1998501975
동일,서울특별시 마포구 연남동 387-13,"서울특별시 마포구 동교로 262-6, 2층 일부 201호 (연남동)",193340.735314799,451178.301115468,https://place.map.kakao.com/1129509773
카페 언타이틀(cafe untitle),서울특별시 마포구 연남동 240-6,"서울특별시 마포구 성미산로 161, 1층 일부호 (연남동)",193208.898836378,451405.869630301,https://place.map.kakao.com/517411487
왓에버 타코(Whatever TACO),서울특별시 마포구 연남동 383-24,"서울특별시 마포구 연희로1길 51, 1층 102호 (연남동)",193399.441791361,450990.254477454,https://place.map.kakao.com/284982691
루치펠,서울특별시 마포구 연남동 260-14,"서울특별시 마포구 동교로 242-5, 2층 (연남동)",193275.939497791,451030.04280762,https://place.map.kakao.com/1962014582
슬로워크(slowalk),서울특별시 마포구 연남동 453-28,"서울특별시 마포구 성미산로27길 68, 1층 (연남동)",192893.708008544,451563.655847707,https://place.map.kakao.com/20098654
주책다방,서울특별시 마포구 연남동 567-47,"서울특별시 마포구 연남로 9, 2층 (연남동)",193129.275059593,450927.932276813,https://place.map.kakao.com/1187752021
연교 2호점,서울특별시 마포구 연남동 227-2,"서울특별시 마포구 연희로 33, 1층 (연남동)",193474.45158647,451066.528107642,https://place.map.kakao.com/1205674728
한촉(HANCHOC),서울특별시 마포구 연남동 515-12,"서울특별시 마포구 연남로3길 10, 1층 101호 (연남동, 미스바)",193028.591601059,451018.894331029,https://place.map.kakao.com/1343183372
수퍼소닉(Supersonic),서울특별시 마포구 연남동 387-13,"서울특별시 마포구 동교로 262-6, 3층 301호 (연남동)",193340.735314799,451178.301115468,https://place.map.kakao.com/421196175
에프이에이티.(feat.),서울특별시 마포구 연남동 487-12,"서울특별시 마포구 성미산로17길 86, 1층 일부호 (연남동)",192634.093010277,451444.707631443,https://place.map.kakao.com/1938251889
블루보틀커피코리아 연남,서울특별시 마포구 연남동 252-17,"서울특별시 마포구 성미산로32길 52, 지하1층,지상1층 (연남동)",193078.414006333,451185.881377828,https://place.map.kakao.com/700071999
하타네 연남점,서울특별시 마포구 연남동 228-39,"서울특별시 마포구 동교로 256-4, 2층 (연남동)",193297.893072879,451140.346258814,https://place.map.kakao.com/1598762268
노는날,서울특별시 마포구 연남동 383-80,"서울특별시 마포구 동교로46길 42-8, 2층 (연남동)",193451.099548919,451075.698625928,https://place.map.kakao.com/1335194296
푸치케,서울특별시 마포구 연남동 245-27,"서울특별시 마포구 성미산로23안길 20-6, 1층 일부호 (연남동)",192976.773763689,451515.947416373,https://place.map.kakao.com/1749069375
연남냉삼,서울특별시 마포구 연남동 361-17,"서울특별시 마포구 연남로 85, 1층 일부호 (연남동)",192699.051009312,451560.347097534,https://place.map.kakao.com/1568883501
샌드스톤,서울특별시 마포구 연남동 244-2,"서울특별시 마포구 성미산로23안길 21, 1층 (연남동)",192945.017115567,451539.524241433,https://place.map.kakao.com/1883958168
우이락 연남점,서울특별시 마포구 연남동 229-10,"서울특별시 마포구 동교로 265, 1층 (연남동)",193327.256354075,451235.436122572,https://place.map.kakao.com/554574534
