별점,리뷰내용,작성자,작성자 프로필 링크,시간,사업장명
5,2층에 위치한 작은 공간으로 직접 만든 참기름과 들기름을 베이스로 한 훌륭한 메뉴가 준비되어 있습니다. 막국수와 감자가 맛있어요.,Steven,https://www.google.com/maps/contrib/102962482122037246242/reviews,1달 전,진청유점
5,정말 특별한 경험이에요! 음식은 내가 맛본 적이없는 것과 같습니다. 이곳은 참기름을 전문으로 하며 모든 요리는 참기름으로 준비됩니다. 나는 강력히 추천한다!,Kim Lacher,https://www.google.com/maps/contrib/105774983475220793532/reviews,1달 전,진청유점
5,"Great atmosphere, food, and service!",Ethan Lui,https://www.google.com/maps/contrib/114297637136114218742/reviews,3주 전,진청유점
1,"주문시켜 먹어본적도 있고, 방문해서 식사해본적도 있다. 알고싶으면 읽어라. 일단 특별한 요리는 시키지 마라. 자신의 입맛이 막입이라면 시켜먹어라. 끝",Reiju,https://www.google.com/maps/contrib/100338978647218284025/reviews,7년 전,첨밀밀
1,"차돌짬뽕 시킴 홍합버리라고 빈구릇가져다줌
홍합이없음.ㅋㅋ말하니깐 그릇잘못가져다줫다함.옆에 그냥짬뽕시킴. 홍합나옴 ㅋ 국물이이상해서 볶음밥시킨사람 국물먹어봄 ㅋ  맛자체가 다름...주방장 술마셧냐 간도안하고 홍합도빼먹구 다신안간다 더러워서",주종호,https://www.google.com/maps/contrib/104008400905058730310/reviews,3년 전,첨밀밀
1,"청결도 맛 등등 모든 면에서 매우 안좋습니다
후… 누가 사줘도 안 가고 싶어요",권태호,https://www.google.com/maps/contrib/105775274698156998508/reviews,2년 전,첨밀밀
1,"부엌이 심각하던데....
다른 중국집 보면 마감할때 솔로 박박 닦고 난리던데 그런거 한번도 못봄",Rising Sun flag equals Hakenkreuz !!,https://www.google.com/maps/contrib/114148246785633133122/reviews,4년 전,첨밀밀
1,너무 위생 문제에 신경 쓰지 않는 곳 입니다.,R Cho,https://www.google.com/maps/contrib/102212834280931235475/reviews,5년 전,첨밀밀
5,"이 가격에 한국식 바비큐를 먹을 수 있다니 믿기지 않아요! 가성비 최고, 부드럽고 맛있는 고품질 소고기!",Bellamy,https://www.google.com/maps/contrib/108467873698298060342/reviews,일주일 이내,은성 돌판한우구이 연남점
5,"고기의 질이 훌륭하고, 구워 가감도 자신 취향에 할 수 있는 최고의 야키니쿠 음식 체험이었습니다.",Channy,https://www.google.com/maps/contrib/102103844050541828564/reviews,일주일 이내,은성 돌판한우구이 연남점
4,"크림보리 추천!
분위기 좋음 여자사장님친절하심????",유초,https://www.google.com/maps/contrib/113852329267573688113/reviews,2달 전,비뮤티 커피
5,귀엽고 아주 좋은 커피 숍. 영어를 아주 잘하는 멋진 커플. 분위기는 매우 환영받습니다.,Christian Breitkreutz,https://www.google.com/maps/contrib/107805480802818854869/reviews,1달 전,비뮤티 커피
5,매우 멋진 분위기를 지닌 친밀한 카페. 훌륭한 커피와 맛있는 간식도 있습니다.,Guy Kemshal-Bell,https://www.google.com/maps/contrib/100505295360467237699/reviews,1달 전,비뮤티 커피
5,,Ben Moehle,https://www.google.com/maps/contrib/111772500569025149255/reviews,3주 전,비뮤티 커피
5,,Elena Golub,https://www.google.com/maps/contrib/109989737318493369865/reviews,4주 전,비뮤티 커피
4,에서 클래식 돈코츠라멘... 입술이 쩍 달라붙을 정도로 진한 스프가 인상적이네요... 메뉴와 가격은 사진 참조~,Bumsang Kim,https://www.google.com/maps/contrib/108662752474504814274/reviews,2달 전,멘야코이시
5,오이시캇타~~ 국물이 찐득하고 깊은 맛이 났다,乙名史菫（McQuinn）,https://www.google.com/maps/contrib/105345563289713443968/reviews,일주일 이내,멘야코이시
5,"영남에게 새롭게 생겼다(전 인천인 것 같다)
가계풍 돼지뼈 간장

무제한 ?? 어리석은",cache,https://www.google.com/maps/contrib/116951231304558072941/reviews,1달 전,멘야코이시
5,"직접 만드신 맛있고 특색있는 디저트입니다.
늦은시간에 가서 선택지가 많지 않았지만, 충분히 만족스러웠습니다.

예쁘고 맛있어요!! 비슷한 퀄리티 대비 다른카페에 비해 저렴하기도 합니다.

디저트 좋아하시는 분이라면 안갈 이유가 없습니다.

카페 내부 깔끔하고 쾌적합니다.",Taste Log,https://www.google.com/maps/contrib/100659422672211068372/reviews,5달 전,포포민즈낫띵
4,"유명한 이유가 있었군.
시그니쳐인 리치,장미, 산딸기의 25번 케이크.
생각보다 별로 안달고 안시고 부드럽고 깔끔했다. 은은한 리치향과 장미향. 과하지 않은 향이어서 너무 매력적이었고, 쁘띠갸또 특유의 크리미한 무스질감이 막 과하지 않아서 좋았다. 중간에 들어간 산딸기잼???의 맛또 매우 적당했고.

마들렌은 피스타치오마들렌이 피스타치오 향이 은근 진해서 좋았고, 초코마들렌은 평범. 레몬파운드빵?은 겉에 아이싱?은 독특하니 좋았으나 레몬파운드?빵 반죽은 지극히 평범했다. 반죽에도 레몬향이 팍팍 느껴지게 했으면 더 좋았을 것 같다.",Yijin Kim (Jane),https://www.google.com/maps/contrib/115190308019353348966/reviews,5달 전,포포민즈낫띵
5,개성있는 디저트 카페로 차별화된 디저트 라인업 및 다양한 차가 '디저트가 중심인 카페라는 생각을 들게 하는 멋진 카페입니다. 2층에서 주문하고 간격이 넓고 개방감이 좋은 3층에 자리를 잡고 있으면 주문한 메뉴를 직접 서빙하여 주시는 점이 인상적이었습니다. 여름 메뉴인 딜 블루베리 아이스크림은 청량감 좋은 딜의 향을 올리브유가 잡아주고 블루베리가 달큰한 맛을 더해 주어 여름 메뉴로 손색이 없는 맛이었으며 딜이 들어간 아이스크림은 최애 디저트 전문점인 올레무스/MAA 외에 처음이어서 더욱 반가워서 앞으로도 자주 찾을 것 같습니다.,Chanho Andrew Kim (MUYO),https://www.google.com/maps/contrib/115839560440026056723/reviews,7달 전,포포민즈낫띵
4,"포포민즈낫띵(44 MEANS NOTHING).

진주자스민 차를 시켰다.
진주자스민은 자스민 향이 은은하고 깔끔하게 난다.
바닐라빈 헤이즐넛은 크리미하고 짙은 바닐라 크림에, 아래 바닥 부분에 헤이즐넛 크루스티앙으로 고소하고 바삭바삭한 식감이 좋다.
디저트별로 설명문이 있어서 좋다.
가격대가 있지만 가격 값은 하는 느낌이다.

카페는 건물의 2층에 위치해 있지만 카페 자체는 1층, 2층(2층, 3층)이라고 한다. 2층(실제로는 3층)에 앉는 좌석이 있다.
화장실도 2층에 있다.

재방문 의사) 있음.
(더 다양한 디저트를 맛보고 싶다..)

2024.07.28 - 방문",환환,https://www.google.com/maps/contrib/107790157174004513891/reviews,9달 전,포포민즈낫띵
4,"디저트가 특별하다해서 와봤어요~
오픈한지 얼마 안됐는지 매장이 청결하네요!
유자모양 디저트가 눈에 확 띄어서 주문했는데, 역시나 새콤한게 넘 맛있네요.
#62 디저트는 생소한 맛이라 신기했어요. 달달한 옥수수 맛이 독특했네요.
아메리카노 원두는 과일 산미 느낌이 은은하게 나면서 후미가 깔끔하네요!",DongYun Lee (Yun),https://www.google.com/maps/contrib/112706944279622257054/reviews,1년 전,포포민즈낫띵
3,"#모뎐 #에그타르트 #스콘 전문점

솔티휘낭시에
부드럽고 살짝 바삭
#단짠 단짠 ㅡ 은근 매력 있네요

늦은 오후에 가니 #에그타르트는 없었지만
#휘낭시에와 #스콘으로도 ^^
#맛있게 먹는 법도 알려줍니다

목금토만 #오프라인 #매장 #오픈
평일에는 온라인 포장 택배만 받는데요

간판이 작아서 좀 헤맸어요
맞나 싶어서 두리번 두리번",비단,https://www.google.com/maps/contrib/108374001758965383710/reviews,4년 전,모뎐
5,가게는 작은 베이커리집임! 에그타르트가 품절이 자주 된다기에 머야 얼마나 맛있길래!!!!!!! 하고 목요일날 12시 40분쯤? 도착했음 다행이도 빵들은 다 넉넉히 남아있었고 에그타르트 3개와 스콘 두개를 삼! 원래는  에그타르트 수량 제한이 있는 것 같았다 하지만 내가 간 날은 없었다 스콘은 아직 안 먹어 봤고 에그타르트는 먹어봤는데 정말 맛있다 하나에 3500원인데 진짜 부드러움 겉은 타르트지로 돼있음 스콘은 아직 안 먹어봤음! 아 휘낭시에도 먹어봤는데 겉 빠짝함 합격!!!!!!! 3pc 5천원이었음다,Minji Kim,https://www.google.com/maps/contrib/107292382160405172492/reviews,3년 전,모뎐
5,에그타르트 맛있어요. 스콘은 크림치즈 무화과 스콘 먹었는데 한국에서 촉촉한 스콘 못 찾았었는데 드디어 찾았어요! 사장님도 친절하시고 스콘 종류도 많아서 조만간 또 방문하려고 합니다. 테이크아웃 전문점이지만 어나더원 커피와 콜라보중이셔서 거기서 먹을 수 있는데 어나더원 커피랑도 궁합이 잘 맞았어요.,피오니,https://www.google.com/maps/contrib/106598949184625424156/reviews,3년 전,모뎐
5,1시간 대기 빵 기대 이상 으로 맛있어요~^^,yeansook kim,https://www.google.com/maps/contrib/110071578089720800281/reviews,4년 전,모뎐
5,진짜 맛있는데 빵이 빨리 다 나가서 빨리 사야함..,우연경,https://www.google.com/maps/contrib/101518319114930108715/reviews,4년 전,모뎐
5,모든 것이 매우 맛있습니다 !!! 저희는 소스를 한점도 남기지 않았습니다....,Henry Lee,https://www.google.com/maps/contrib/103728475609011732775/reviews,5달 전,Osds 파르크
3,그 작은 거리에 있는 다른 커피숍들 사이에 브런치 장소가 있어요. 커피는 꽤 실망스러웠습니다. 우유가 너무 뜨거워서 커피라떼는 뜨거운 우유를 넣은 에스프레소로 나왔습니다.,Christian Breitkreutz,https://www.google.com/maps/contrib/107805480802818854869/reviews,1달 전,Osds 파르크
5,갓 만든 파스타. 사랑스러운 공간,Kevin Chen,https://www.google.com/maps/contrib/109455615395875905420/reviews,4주 전,Osds 파르크
5,"곱이 가득한 곱창을 구워서 내줍니다.
개업초기라 그런가 두툼한 삼겹살에 라면까지 서비스로 제공됩니다.
낮술 가능.
가옥을 개조하여 그런대로 운치도 있어요.",Joa Busai,https://www.google.com/maps/contrib/105653678115471611748/reviews,4달 전,화청
3,맛있어요! 고기랑 곱창을 같이 먹을 수 있는 색다른 재미?,moongyum kim,https://www.google.com/maps/contrib/110378003180622500585/reviews,3달 전,화청
5,,"A. A. Istri Irahyani Pawitra, S.M.",https://www.google.com/maps/contrib/117643620238270724409/reviews,5달 전,화청
5,런치 3만원 가격의 오마카세라 큰 기대하지 않고 갔는데 너무 잘먹고 왔습니다. 낮은 금액대 안에서 다양한 재료들을 보여주기 위해 노력하신게 느껴져서 좋았습니다. 이 가격에 이런 음식과 서비스를 받을 수 있는게 놀랍네요. 샤리의 양은 기본적으로 증량하시는게 좋을것 같습니다. 처음보다 샤리양을 늘려달라고 요청한 이후가 훨씬 더 맛있었어요.,B C (시라노),https://www.google.com/maps/contrib/114888703161883896458/reviews,4달 전,스시미가쿠
5,"이 식당의 콘셉트는 매우 새롭다. 이곳은 식당과 카페가 합쳐진 엠비언스를 준다. 매우 깔끔한 인테리어와 모든 자재들, 대략 6명 정도 앉을 수 있는 내부는 찾아온 손님에게 당신이 특별하다는 인상을 준다. 앉은 자리 바로 앞이 주방으로, 만드는 과정과 주방 상태를 볼 수 있는데 매우 깔끔하다는게 눈으로 보인다. 돼지국밥은 앏은 고기를 밥 위에 얹어 만드는데, 이곳만의 특징이다. 고기의 고소한 맛이 더 느껴지는 것 같다. 반찬은 백김치와 간장식초에 절인 채소였는데, 산도의 적당함에 놀랐다. 냉제육도 겉쪽을 구운 얇은 제육으로 독특했다. 모두 남김없이 비웠다. 카페에서 밥을 먹는듯한 이곳만의 분위기는 잊을 수 없을 것 같다.",Belight,https://www.google.com/maps/contrib/100949851257821512242/reviews,2달 전,청백
5,얼마 전 연남동에 갔다가 고즈넉한 분위기에 속이 편해지는 맑은 돼지곰탕집에 다녀왔습니다. 오픈한지 얼마 안된 신상 곰탕집으로 사장님께서 곰탕에 진심이시더라구요. 맑고 깔끔한 국물과 얇게 썰어진 부드러운 목살의 조화가 진짜 끝내줍니다. 부드러운 등심에 파채에 싸먹는 냉제육도 꼭 드셔보세요. 정갈하게 나와 대접받는 기분이 들어서 너무 좋더라구요. 연남동에 간다면 청백 돼지곰탕 드셔보는걸 추천합니다.,LEE MYUNGHUN,https://www.google.com/maps/contrib/112957418794926408009/reviews,7달 전,청백
4,"운좋게 내가 갔을땐 먹고 계시던 분들도 다 드시고 퇴장할때라 혼자만 있어 사장님 이런저런 이야기도 하면서 일반적 곰탕집의 분위기 와는 전혀 다른 의도로 기획해서 연출하셨다고 한다

청백의 의미는
청: 깨끗한 느낌
백: 흰 쌀밥을 생각했다고

국밥의 국물은 아주 깊은 맛이 우러나진 않지만
정말 깔끔한 맛은 일품이다
그리고 남자분이라면 국밥과 냉제육 반접시와 함께 한다면 아주 만족할 수 있는 식사가 될듯

냉제육의 고기 질감과 고기 끝에 붙은 비계의 꼬들함이 아주 찰지다 살코기는 너무 부드러워 술술 넘어간다 같이 곁들일 수 있는 파채가 한몫을 단단히 하는 한수다.",기분좋은 날,https://www.google.com/maps/contrib/115441278999014841775/reviews,2달 전,청백
5,돼지곰탕 so nice :-),묵키키,https://www.google.com/maps/contrib/114684283961221187990/reviews,7달 전,청백
3,무난한 술집. 문어와 오뎅탕 세트로 주문했으며 가격도 맛도 평범했습니다.,프로외박러,https://www.google.com/maps/contrib/114397769786271689317/reviews,1년 전,청춘물약
5,문어삼합 존맛입니다!!,Jason Lee,https://www.google.com/maps/contrib/109787842466573619753/reviews,3년 전,청춘물약
3,,tazdevil isle,https://www.google.com/maps/contrib/113778338445708050889/reviews,3년 전,청춘물약
4,"이 집의 순대국은 확실히 독특한 개성이 있다. 국물에 들어간 김치는 달큰하고 젓갈 향이 강하며, 무 또한 마찬가지로 달아서 순대국보다는 밥과의 조화가 더 자연스럽다. 깻잎과 들깨가루가 듬뿍 올려져 있는데, 잡내를 잡기 위한 주방의 고민이 느껴지는 대목이다.
전체적으로 육수에 간이 강하지 않아 첫 맛은 밍밍한 듯하지만, 위에 고명처럼 곱게 올려진 다데기를 풀어주면 감칠맛과 국물의 깊은 풍미가 한층 살아난다. 하지만 다데기만으로는 그 감칠맛이 극대화되지는 않아서, 새우젓이 꼭 들어가야 완성된다. 새우젓을 넣은 후에도 어라? 뭔가 부족한데? 싶은 느낌이 들지만, 어느새 국물만 연거푸 들이키고 있는 자신을 발견하게 된다.
이 집의 순대는 찹쌀, 선지, 채소 등을 돼지 창자에 채워 만든 곱창순대다. 하지만 순대를 감싸고 있는 피의 질감이 다소 약해 내용물을 단단히 잡아주지는 못한다. 우리가 흔히 아는 아바이순대처럼 입안에서 부드럽게 녹는 가운데, 간간이 오도독 꼬득꼬득한 식감이 살아있어 꽤나 기분이 좋다.
진짜 이 집의 강점은 따로 있다. 바로 고기와 내장이다. 신선함을 무기로 다양한 텍스처를 제공하는데, 웬만한 맛집들도 어려워하는 오소리감투 같은 부위의 쓴맛을 이 집은 절묘하게 잡아내고 있다. 다양한 부속 내장을 사용하면서도 각각의 식감을 살리고, 그 맛은 오히려 극대화된다.
국물은 우리가 익히 아는 ‘서일순대국’의 느낌을 닮았다. 하지만 서일순대국이 강렬한 파도를 친다면, 이 집은 잔잔한 파도를 친다. 진한 국물맛이 그리울 때는 당연히 서일순대국으로 가겠지만, 부속 고기의 신선한 질감과 다채로운 맛이 그리워진다면 나는 주저 없이 이 집을 택할 것이다.
고기의 기름기도 적당하게 나와 국물과 어우러지면 고소하고 녹진한 완성형의 맛을 선사한다. 다만, 들깨가루와 깻잎, 고기류에서 나오는 기름들이 국물 속에 머물다 보니, 다 먹고 나면 입 안에 기름기가 살짝 남는다. 어른들은 이를 ‘잘 먹었다’고 표현하겠지만, 내 기준에서 진정한 맛의 정점은 입술에 기름기가 남지 않을 때 완성된다.
이 순대국이 그리워질 것 같지는 않지만, 부속 고기만큼은 지금도 그립다.",마이클쵕,https://www.google.com/maps/contrib/103417134663213627886/reviews,1달 전,순대일번지
4,"11시45분 오픈.
순대국 특 11,000
(일반과 1,000원차이인데 무슨 고기가 하나 더 들어간다고하셔서 시킴)
양념장이 들어가있어서 빨간스탈이고
맛은 맵거나 하진않고 다양한 부위 고기로
씹는 맛있음. 순대는 2개 들었는데 별로였음.
고기가 더 맛있.
점심에는 국밥만 되고 수육 못시킨다고.
담엔 저녁에 와서 모듬수육 먹어보고싶당.",sunny,https://www.google.com/maps/contrib/113396699686669829787/reviews,8달 전,순대일번지
4,"술에 취해서 다음날 보니 사진만 있던 순대국밥집
상당히 맛이 있던 기억이 나서 찾아봤다
들깨가루와 깻잎이 킥이며,
아주 특별하진 않지만 그렇다고 해서 맛이 없다고 할 수 없는 맛이다
실패 없는 순대국밥집을 원한다면 바로 여기다",잡식성음악동물,https://www.google.com/maps/contrib/111427116651845770280/reviews,3달 전,순대일번지
3,예전에 오고 오랫만에 왔는데 사장님이 바뀌셨어요. 원래 사장님이 이제 경영을 못하셔서 친척분이 하신다네요. 양이 줄었고 맛도 살짝 변한것 같아요.,JuneWon Choi,https://www.google.com/maps/contrib/105116410592939750873/reviews,6달 전,순대일번지
4,"로컬은 로컬인데 10년 전 살던 로컬에게 소개받았음.
일단 먹을거면 무조건 특을 주문할 것.
1천원 차이에 더 많은 고기를 먹을 수 있음 :)

여기는 순대도 순대지만,
순대국에 함께 나오는 고기가 정말 맛있다 :) 밥도 배부른 쌀인데다
김치는 겉절이의 신선한 짠맛(?)을. 그리고 잘 익은 깍두기의 서로 다른맛을
느낄 수 있는 묘미가 있다

줄 서서 기다리며 먹는다는데
운좋게 그냥 착석 흡입함ㅋ

아, 혼자가거나 둘이가게 되면
가게 안에 코카콜라 빨간 둥근 플라스틱 테이블에 앉아서 먹어야 되므로
3ㅡ4명이 가길 추천함",son b.,https://www.google.com/maps/contrib/116389692753246820190/reviews,1년 전,순대일번지
5,너무 맛있게 잘 먹은 연남동 데이트 맛집이에요. 분위기도 돈까스 맛도 완벽합니다! 또 가고 싶은 몇 안 되는 식당 중 하나로 등극했어요. 치즈카츠를 특히 추천하고 싶어요. 잘 먹었습니다.,주뚜띠,https://www.google.com/maps/contrib/101551143490941882891/reviews,3주 전,이이요이 연남
5,연남동 조용한 따뜻한 밥집이에요. 돈까스가 진짜 맛난 곳이에요. 특등심카츠도 있는 전문 돈까스집. 경양식 돈까스도 있으니 누구나의 입맛에 맞는 곳인것 같아요,heeyoung Park,https://www.google.com/maps/contrib/103366550923791068610/reviews,5달 전,이이요이 연남
