별점,리뷰내용,작성자,시간,사업장명
4,"아기자기하고 따뜻한 감성까페를 좋아하시면 완전 추천합니다!! 케이크나 스콘 좋아하시는 분들도요~
지금 가시면 크리스마스 분위기 10000%느끼실 수 있어요!",모닝인센스,2년 전,멜랑커피 연남
3,"스콘 맛있다는  추천을 받고 갔는데 개인적인 취향이 달라서인지 너무 기대했나봐요.
디스플레이를 잘해놔서 눈이 호강했네요. 빅토리아케이크도 버터크림이 좀 느끼해서 아쉬웠어요
개인적으로는 바질스콘이 괜찮았어요.",Aileen J,6년 전,멜랑커피 연남
4,"이 집의 순대국은 확실히 독특한 개성이 있다. 국물에 들어간 김치는 달큰하고 젓갈 향이 강하며, 무 또한 마찬가지로 달아서 순대국보다는 밥과의 조화가 더 자연스럽다. 깻잎과 들깨가루가 듬뿍 올려져 있는데, 잡내를 잡기 위한 주방의 고민이 느껴지는 대목이다.
전체적으로 육수에 간이 강하지 않아 첫 맛은 밍밍한 듯하지만, 위에 고명처럼 곱게 올려진 다데기를 풀어주면 감칠맛과 국물의 깊은 풍미가 한층 살아난다. 하지만 다데기만으로는 그 감칠맛이 극대화되지는 않아서, 새우젓이 꼭 들어가야 완성된다. 새우젓을 넣은 후에도 어라? 뭔가 부족한데? 싶은 느낌이 들지만, 어느새 국물만 연거푸 들이키고 있는 자신을 발견하게 된다.
이 집의 순대는 찹쌀, 선지, 채소 등을 돼지 창자에 채워 만든 곱창순대다. 하지만 순대를 감싸고 있는 피의 질감이 다소 약해 내용물을 단단히 잡아주지는 못한다. 우리가 흔히 아는 아바이순대처럼 입안에서 부드럽게 녹는 가운데, 간간이 오도독 꼬득꼬득한 식감이 살아있어 꽤나 기분이 좋다.
진짜 이 집의 강점은 따로 있다. 바로 고기와 내장이다. 신선함을 무기로 다양한 텍스처를 제공하는데, 웬만한 맛집들도 어려워하는 오소리감투 같은 부위의 쓴맛을 이 집은 절묘하게 잡아내고 있다. 다양한 부속 내장을 사용하면서도 각각의 식감을 살리고, 그 맛은 오히려 극대화된다.
국물은 우리가 익히 아는 ‘서일순대국’의 느낌을 닮았다. 하지만 서일순대국이 강렬한 파도를 친다면, 이 집은 잔잔한 파도를 친다. 진한 국물맛이 그리울 때는 당연히 서일순대국으로 가겠지만, 부속 고기의 신선한 질감과 다채로운 맛이 그리워진다면 나는 주저 없이 이 집을 택할 것이다.
고기의 기름기도 적당하게 나와 국물과 어우러지면 고소하고 녹진한 완성형의 맛을 선사한다. 다만, 들깨가루와 깻잎, 고기류에서 나오는 기름들이 국물 속에 머물다 보니, 다 먹고 나면 입 안에 기름기가 살짝 남는다. 어른들은 이를 ‘잘 먹었다’고 표현하겠지만, 내 기준에서 진정한 맛의 정점은 입술에 기름기가 남지 않을 때 완성된다.
이 순대국이 그리워질 것 같지는 않지만, 부속 고기만큼은 지금도 그립다.",마이클쵕,1달 전,순대일번지1
4,"11시45분 오픈.
순대국 특 11,000
(일반과 1,000원차이인데 무슨 고기가 하나 더 들어간다고하셔서 시킴)
양념장이 들어가있어서 빨간스탈이고
맛은 맵거나 하진않고 다양한 부위 고기로
씹는 맛있음. 순대는 2개 들었는데 별로였음.
고기가 더 맛있.
점심에는 국밥만 되고 수육 못시킨다고.
담엔 저녁에 와서 모듬수육 먹어보고싶당.",sunny,8달 전,순대일번지1
4,"술에 취해서 다음날 보니 사진만 있던 순대국밥집
상당히 맛이 있던 기억이 나서 찾아봤다
들깨가루와 깻잎이 킥이며,
아주 특별하진 않지만 그렇다고 해서 맛이 없다고 할 수 없는 맛이다
실패 없는 순대국밥집을 원한다면 바로 여기다",잡식성음악동물,3달 전,순대일번지1
3,예전에 오고 오랫만에 왔는데 사장님이 바뀌셨어요. 원래 사장님이 이제 경영을 못하셔서 친척분이 하신다네요. 양이 줄었고 맛도 살짝 변한것 같아요.,JuneWon Choi,5달 전,순대일번지1
4,"로컬은 로컬인데 10년 전 살던 로컬에게 소개받았음.
일단 먹을거면 무조건 특을 주문할 것.
1천원 차이에 더 많은 고기를 먹을 수 있음 :)

여기는 순대도 순대지만,
순대국에 함께 나오는 고기가 정말 맛있다 :) 밥도 배부른 쌀인데다
김치는 겉절이의 신선한 짠맛(?)을. 그리고 잘 익은 깍두기의 서로 다른맛을
느낄 수 있는 묘미가 있다

줄 서서 기다리며 먹는다는데
운좋게 그냥 착석 흡입함ㅋ

아, 혼자가거나 둘이가게 되면
가게 안에 코카콜라 빨간 둥근 플라스틱 테이블에 앉아서 먹어야 되므로
3ㅡ4명이 가길 추천함",son b.,1년 전,순대일번지1
5,"홍대맛집 철길부산집 숲길점!
여기 완전 분위기 깡패 안주 깡패에요!!
어묵세트에 타다끼, 해물라면 모두 훌륭했습니다!!
대통주는 처음 먹어봤는데 시원하고 좋더라구요
사장님도 직원분들도 모두 너무 친절하셔서 만족스러웠어요",돼지교수님,5달 전,서울혼술바 제주아홉 홍대점
5,"この日本風居酒屋は和食を目指していますが、メニューが面白くて、価格もリーズナブルで、美味しさも抜群です! 🍣🎉 特におでんは日本風ではなく韓国風なのでご注意ください。それでも、その独自の風味がとても美味しかったです 🌟。

座席についても、二人が座りやすいカップルシートが多くて、デートにもぴったりの雰囲気です 💑。居心地が良く、リラックスできる場所です。

全体的に見て、この居酒屋は美味しい料理とお手頃な価格、そして快適な座席配置が魅力です 😊。また訪れたいと思います!

金額情報は下記です。

- **プサン家 鮭の刺身**: 29.0
- **和牛のたたき**: 20.0
- **韓牛ユッケ**: 20.0
- **数の子クリームうどん**: 18.0
- **海老天ぷら**: 18.0
- **鮭の唐揚げ**: 18.0
- **揚げそば**: 18.0
- **辛いトッポッキ**: 18.0
- **バター蛸足焼き**: 18.0
- **盛り合わせ海老天ぷら**: 18.0
- **チーズ明太子**: 18.0
- **数の子バタージャガイモ**: 12.0
- **インジョルミもち**: 8.0
- **もち軟骨唐揚げ**: 13.0
- **辛いおでん**: 12.0
- **盛り合わせコロッケ**: 10.0
- **スジ煮込み**: 13.0
- **たこ焼きサバ**: 8.0
- **チーズじゃがいも**: 10.0
- **タコわさび**: 10.0
- **黄桃**: 8.0
- **うどん**: 8.0
- **海鮮ラーメン**: 7.0
- **トマト柚子ラーメン**: 6.0

이 일본풍 이자카야는 일본 음식을 목표로 하고 있지만, 메뉴가 재미있고 가격도 저렴하며 맛도 훌륭합니다! 🍣🎉 특히 오뎅은 일본풍이 아니라 한국풍이므로 참고해주세요. 그래도 그 독특한 맛이 매우 맛있었습니다 🌟.

좌석도 두 사람이 앉기 좋은 커플 시트가 많아 데이트에도 안성맞춤입니다 💑. 편안하고 여유로운 분위기입니다.

전체적으로 이 이자카야는 맛있는 요리와 저렴한 가격, 그리고 편안한 좌석 배치가 매력적입니다 😊. 또 방문하고 싶습니다!

1. **부산진 세트**
- 구성: 부산진 + 연어 사시미
- 가격: 44,900원, 55,900원, 56,900원

2. **서면 세트**
- 구성: 서면 + 연어 사시미
- 가격: 37,900원, 55,900원, 56,900원

3. **해운대 세트**
- 구성: 해운대 + 메인 요리
- 가격: 33,000원, 48,000원, 41,000원

- 부산집 연어 사시미**: 29.0
- 소고기 타다끼**: 20.0
- **한우 육회**: 20.0
- **청어알 크림우동**: 18.0
- **새우튀김**: 18.0
- **순살연어 가라아게**: 18.0
- **아게소바**: 18.0
- **불 떡볶이**: 18.0
- **버터문어 다리구이**: 18.0
- **모듬 새우튀김**: 18.0
- **치즈스 멘타이코**: 18.0
- **청어알버터통감자**: 12.0
- **인절미모찌**: 8.0
- **떡연골 튀김**: 13.0
- **매운 어묵**: 12.0
- **모듬 고로케**: 10.0
- **스지**: 13.0
- **문어사발**: 8.0
- **치즈 군감자**: 10.0
- **타코와사비**: 10.0
- **황도**: 8.0
- **우동**: 8.0
- **해물라면**: 7.0
- **토마토유자라면**: 6.0",Gourmet for JP&KR IG,6달 전,서울혼술바 제주아홉 홍대점
5,"진짜 괜찮습니다.
어묵 굳이 세트로 안시켜도 되고, 3개정도만 먹고싶은거 추가했어요. 어묵이 연육비율이 높아 맛있어요.
소고기타다키는 꼭 시켜드세요. 퀄리티 좋습니다.

다찌석 느낌있고, 직원분들도 친절하십니다.",Taste Log,6달 전,서울혼술바 제주아홉 홍대점
4,"경의선숲길에 분위기 좋게 자리잡은 어묵집입니다. 소고기 타다끼 연어사시미 어묵세트 먹어봤습니다.
아주 만족스러운 술안주들입니다!!!
전반적으로 만족스러운 음식입니다만 어묵의 경우 기성품들을 사용하시는거 같습니다.",Jay_Jemin You (Jamm),4년 전,서울혼술바 제주아홉 홍대점
4,"1.환경♡♡♡
홍대입구 경의선전철역에서 5분-10분거리 위치
산책로에 있는 오뎅바 5시30분에 가야 대기 없이 먹고 마실수 있다
통로가 좁고 약간 불편하고 자리도 4명자리도 1개있다
주방이 보여서 그냥 손으로 야채를 썰거나 담고 조금은 비위생적이다
화장실은 안에 1개로 구성되어 있다

2.서비스♡♡♡♡
바로 앞에 서빙을 해주시니 바로바로 주문이 들어가므서 좋다

3.맛 ♡♡♡♡
오뎅은 맛은 있었고 육회는 평이한 수준임

여자여자가 좋아 할 만한 곳

4.종합 ♡♡♡*
가격대은 오뎅이 상당히 비싸게 판다는 생각이 들었다

홍대근처는 오뎅바가 거의 없어 겨울이 되면 여기로 몰리는 느낌",Cookie,2년 전,서울혼술바 제주아홉 홍대점
5,"연남동 맛집 홍대 데이트 코스 할만한 곳 찾다가 발견했어요 ~

다양한 피자 메뉴들과 주류도 준비되어 있고
분위기가 좋아서 데이트하기 좋았어요 !

감자튀김피자 처음 먹어봤는데 너무 맛있어서 놀랐네요 !! 피자랑 맥주는 또 얼마나 잘 어울리던지 ~ 재방문 의사 100%입니다 ^^",이중현,2주 전,청년피자 서교연남점
5,"분위기도 좋고 맛있어서 연남동 데이트 장소로 추천드립니다-!! 피자 종류도 다양하고 하프앤하프로 먹었는데 제가 좋아하는 감자튀김이랑 머쉬룸을 피자로 즐길 수 있어서 너무 좋았습니다
피맥하기에도 적합한 공간이었고 인테리어로 있는 그림들이 센스있어서 좋은 데이트였습니다 다음에는 시그니처메뉴들을 다 먹어 볼 수 있는 쿼터스트릿을 먹어 볼 예정입니다 재방문 각👍🏻",김영진,2달 전,청년피자 서교연남점
5,홍대입구역 근처 피자 맛집 백스트리트피자! 4층에 있어서 뷰도 넘 좋고 가격 대비 양도 많아서 배부르게 먹었어요! 쿼터 스트릿 피자 토핑도 엄청 많고 다양한 맛을 즐길 수 있어서 좋았습니다!,문정,1주 전,청년피자 서교연남점
5,연남동 분위기 즐기면서 맛있는 피자 먹을 수 있는 백스트리트 피자집이에요~ 쫀득하고 담백한 도우에 풀토핑으로 한조각만 먹어두 배가 불러요! 매장 분위기도 좋아서 데이트 코스로도 좋구 친구들과 피맥하기 좋은 펍 느낌입니다 ㅎㅎ 하프앤하프도 가능해서 먹고 싶은걸로 자유롭게 선택해서 먹을 수 있어서 좋아요 ~ 페퍼로니 듬뿍 올라가고 매콤한 핫소스 뿌려 먹는 페퍼로니 피자는 최고입니다 😋,김혜민,3주 전,청년피자 서교연남점
5,"콰트로스트리트 먹었는데 좋았어요! 여러 가지를 한꺼번에 맛볼 수 있으니 만족도가 올라갑니다!!!!!
내부 미술작품은 피자를 모두 품고싶어요! 재미 있어서 요리조리 쳐다보게되네요.
웃으면 복이 온대요.
연남동 가실 때 드셔보세요",타이프레디오 -type retro radio,2주 전,청년피자 서교연남점
4,"연남동의 텍사스 바베큐하우스
9.8만원짜리 고스트플래터와 맥주를 시키고 나중에 추가로 프렌치프라이와 bbq 라면을 시킴
일단 플래터는 정말 괜찮다
훈연한 부채살스테이크 브리스킷 풀드포크 등 다 먹을만하고 곁들여 먹는 모닝빵도 맛있음
다만 텍사스바베큐 특성상 간이 좀 단짠단짠이 세다
따라서 많이 먹다보면 조금 질리는데 그 때 시키라고 라면이 있는것 같다
다만 bbq 라면을 먹어본 결과 텍사스바베큐를 왕창 먹고난 다음에 먹기엔 고기가 너무 많아서 좀 느끼하다. 차라리 고기가 없는게 더 낫지 않을까 싶음
암튼 전반적으로 음식은 훌륭하고 특히 텍사스바베큐가 제대로임

단점을 조금 적어보자면
서빙보는 직원들이 좀 문제가 있다고 생각된다
라면 가져다주면서 젓가락이 다 떨어졌다면서 젓가락 없이 주질 않나, 빈자리 테이블 세팅하면서 의자위에 포크 나이프를 올려뒀다가 그걸 그대로 세팅하고...
한국에서 젓가락이 그렇게 구하기 어려운건가? 라면을 주면서 젓가락을 빼고 줄 정도로? 내가 음식점 운영한다면 만에 하나 젓가락이 부족하더라도 마트나 편의점가서 일회용 젓가락이라도 사와서 줄거 같은데 말이지...그게 귀찮아서 라면을 젓가락 없이 주면거 그냥 먹으라고 한다? 정말 젓가락을 제공할수 없는 상황이었으면 다 만들어서 젓가락 없이 주기전에 미리 상황을 얘기해야 하는거 아닌가? 바베큐 먹던 포크가 있어서 그걸로 먹긴 했지만 이건 참 기본이 안되었다고 생각함. 아니면 사장님이 식기를 너무 부족하게 준비했든가...
그리고 테이블 치우면서 새로 세팅하려고 들고온 접시와 포크 나이프를 사람이 엉덩이 깔고 앉는 인조가죽 의자위에 올려뒀다가(포크 나이프를 접시 위에 올린 상태로 의자에 올린것도 아니고 포크 나이프를 바로 엉덩이 깔고 앉는 방석위에 올려둠) 테이블 다 치우고 난뒤 새로 세팅하면서 그걸 그대로 올림, 옆에서 식사하는 사람들이 다 보는데도 그러는거보면 그런 개념 자체가 없는거 같다.
음식은 먹을만하지만 직원들 교육은 다시 시켜야할거 같다",EUNGYONG KIM,2달 전,고스트블랙 연남점
5,"인테리어 멋져용!!
데이트와 모임하기 좋은장소같아용
고기가 부드럽고 맛있네욤
비빔면 후기에서 추천해서 같이먹었는뎅
저도 같이 먹는걸 추천합니당! 비빔면도 맛있어용👍🏻
배터지게 먹을수있어용!!",꽃길,3달 전,고스트블랙 연남점
4,"골목 안쪽 뒤편 건물에 있어서 입구를 잘 살펴보셔야 합니다. 블랙플래터를 먹었으며, 넓은 vat에 담겨져 서빙됩니다. 4가지 고기와 소시지, 번, 소스, 코울슬로, 할라피뇨와 파인애플슬라이스가 나옵니다. 훈연향이 그윽하고 아주 부드러운 식감이 좋았지만, 연기퍼포먼스와는 달리 고기가 식은 상태라서 좀 아쉬웠습니다.",WOOHO CHANG,5달 전,고스트블랙 연남점
5,"사과칩 훈연향이 일단 달큰하고 고소한향이 나서 좋습니다.
브리스킷이 촉촉할때 빨리 드시는걸 추천하고
번 추가해서 안에 넣어 같이먹으니 좋아요",도라이,8달 전,고스트블랙 연남점
5,"친구한테 추천받고 방문했어요~ 블랙플래터 2인, 하이볼, 라면 주문했어요! 분위기도 너무 좋아서 잘 찾아왔다 싶더라구요 🥰
특히 라면 진짜 좋아하는데 라면까지 맛있어서 너무 만족했어요~ 플레이터도 맛있구요! 플레이터 먹고 싶을때 이제 여기 오게 될 것 같네요😊😊",최인석,1년 전,고스트블랙 연남점
5,아주 좋은 곳! 신선한 과일과 완벽한 딸기가 어우러진 포크입니다. 직원들은 매우 친절하고 친절합니다. 영어로 된 메뉴가 있습니다.,Виктор,2주 전,베리머치(Berry Much)
5,"서울의 거리에서 발견한 마법의 장소, 아침에 어울리는 신선한 과일을 찾을 수 있다는 것은 정말 맛있는 일입니다.
100% 추천 🫰🏻instagram",Sebastian Montoya,4주 전,베리머치(Berry Much)
5,"매우 귀여운 작은 장소, 직원은 매우 친절했습니다! 아사이볼이 상큼해서 추천드려요!❤️",Synnøve Lia,3주 전,베리머치(Berry Much)
5,좋은 직원이 있는 매우 귀엽고 아늑한 장소. 아사이볼이 상큼했어요!🩷,Victoria Lagaard,3주 전,베리머치(Berry Much)
5,서울의 멋진 지역에 있는 훌륭한 작은 커피/건강한 아침 식사 코너 매장입니다.,Stefan Klaiber,4주 전,베리머치(Berry Much)
5,"rytm. 싱글 오리진 커피에 부어보세요. 주로 차와 함께 커피가 아닌 옵션도 있습니다. 그는 말차와 호지라떼에 말차 거품기를 사용하고, 쑥차에는 차 세트를 사용합니다. 주인분이 친절하시고 영어도 잘 하십니다. 오전 8시부터 오후 8시까지 영업하며 서울에서 커피를 마실 수 있는 지역이었습니다. 주인이 직접 페이스트리를 만듭니다. 우리는 초콜릿 브라우니를 먹어봤는데 정말 맛있었어요! 아침 바람이 잘 통하는 깨끗한 분위기에 적합합니다.",Felicity Ma,1주 전,리틈
5,"홍대역에서 몇 분 거리에 있는 아늑한 새 카페입니다. 넓고 햇살 좋은 날에는 큰 창문이 열려 업무, 독서, 휴식에 이상적입니다. 초코 파우더가 듬뿍 뿌려진 가볍고 부드러운 카푸치노는 따뜻한 베이지색 톤과 나무가 보이는 아름다운 유리 천장이 평화로운 휴식처를 선사합니다. 사장님도 친절하고 영어도 잘 하십니다. 북적이는 홍대에서 재충전하기 좋은 곳입니다. 강력 추천합니다!!",seoul.corners,일주일 이내,리틈
5,"일단 테틈제품이 있어서 구경하기도 좋고 평일에 가믄 아늑하고 좋더라구요
커피도 맛있어요!! 오늘도 엽서 겟겟해서 갑니당",최도희,4달 전,감성커피 연남동점
5,"크림소다의 맛이 궁금하기도하고, 귀여운 음식을 보고 냉큼 찾아갔습니다.
진짜 너무 귀여운 카페입니다!
음식도, 인테리어도 너무 귀엽습니다(완전 취저!).
크림소다/ 베베밀크티 / 팬케이프 플레이트
를 주문했는데, 다 맛있었습니다. 예쁘게 생긴 음식은 맛이 덜하다 라는 이상한 편견을 와장창 깨줄 맛있고 예쁘고 귀여운 디저트였답니다.

외국인도 많이 오는 곳 같더라고요. 한국사람보다 외국인들을 더 봤던 것 같습니다.",Hyo J,1년 전,감성커피 연남동점
5,우연히 발견된 귀여운 카페 너무 귀엽잖아요,lemon salted (saltedlemon),9달 전,감성커피 연남동점
5,와이프가 좋아합니다,Jinhyeok Yoon,5달 전,감성커피 연남동점
5,테틈이가 너무 귀여워용 눈으로 힐링제대로 했네용🤍💛😊,변경린,5달 전,감성커피 연남동점
5,"지나가다 와봤는데 생긴 지 얼마 안됐는지 위생이 좋았고 분위기가 좋았어요!
다들 친절하시고 직접 구워주셔서 먹기 너무 편했습니다
같이 먹을 반찬들도 많아서 맘에 들었고 와인도 오픈 기념으로 한 병도 주셔서 와인이랑 고기랑 먹었는데 잘 어울리고 맛있네요",우희,4주 전,미래회관 연남점
5,"새로 오픈했길래 방문했는데 너무 깔끔하고 음식 진짜 너무 맛있네요!
직원분들도 너무 친절하시고 분위기도 좋아서 데이트할때 오시는걸 추천드립니다👍",won,4주 전,미래회관 연남점
4,"연남동에서 데이트 하기 좋고 고기도 다 구워주셔서 먹기만 하면 되는 프라이빗 고기집 입니다.
소개팅 하기에도 너무 좋아보였어요~
돼지고기에 와인 한 잔하러 갈게요",CHANYONG RYAN KIM,2주 전,미래회관 연남점
5,"분위기 좋고 메뉴 구성 넘 맘에 들어요!
갈비살 육즙 팡팡 고소한 삼겹살 존똑한 가브리살 다 맛볼
수있어서 넘 맛있게 먹었습니당
직접 구워주시는 전문가의손길 최고에요",신왕조 (개봉땡초),3주 전,미래회관 연남점
5,고기도 직원분들이 직접 구워주시고 친절하게 설명까지 해주시더라구요 반찬들도 너무 맛있고 내부도 너무 이뻐요 저녁에 오면 운치있을거같네요,요리사,3주 전,미래회관 연남점
3,"처음 맛본 꼬꼬동. 템동같은 느낌인데 가라아게와 고추튀김이 올려진 메뉴에요. 제일 중요한 튀김은 너무 잘 튀겨져서 아주 바삭하고 고기는 촉촉해서 맛있습니다.
연어초밥은 대왕이 붙어있어서 사이즈가 엄청 크고요, 겉에 살짝 양념이 되어있어서 감칠맛도 좋아요. 물론 연어도 신선하고요. 카르보우동은 비주얼은 좋았는데 개인적으로는 크림 소스가 조금 묽기도하고 간도 조금 애매했네요. 뭔가 밸런스가 조금 부족한 느낌. 개인 입맛이니까요.

1층은 닷지석으로 되어있어서 옹기종기 모여서 먹는 재미도 있고, 2층도 있는데 안가봐서 모르겠네요.",Matboard Chart,5달 전,동동
5,일단 매장이 너무 깔끔해요...!!! 식당 특유의 끈적거리는 테이블 그런거 없이 너무 깔끔하고 음식도 진짜 금방나오고 분위기도 너무 좋아요!! 오늘은 혼밥했지만 다음에 친구나 남자친구랑 꼭 같이 다시 올거예요ㅎㅎㅎ,김이재,5달 전,동동
5,"연남동 맛집이라 점심. 저녁 시간에 가면 웨이팅있어요. 날이 쌀쌀해서 연어 메뉴 보다 꼬꼬동을 주문했는데 치키을 어마 무시하게 주시더라구요. 튀김이 바삭하고 위에 올려주신 소스도 맛있었어요.
둥글게 앉아서 먹는데 보통은 테이블이 높아서 일하시는 분이랑 눈마주칠 일이 없는데 요기는 안내해 주시는 분이랑 눈높이랑 간격아 좁아서 다른 텐동집 보다 친근하게 느껴지는 공간이에요  매장이 좁지만 친절한 설명이 단점을 장점으로 바꿔주더라구요.
다음에는 연어 메뉴를 먹어봐야겠어요.
추천합니다",jung min Park,5달 전,동동
5,"연남동 맛집으로 알고 있었는데, 항상 손님이 많아서 못 가다가 기회가 되어서 가봤는데 음식 비주얼 너무 좋고, 맛도 최고네요! 아무래도 주기적으로 방문을 해야겠습니다 !

깔끔하게 운영되는 곳 또 오고 싶네요~~",태태경,5달 전,동동
5,오늘 처음 왔음에도 불구하고 친절하게 잘해주시고 음식도 짱짱 맛있어요! 친구 연인 가족 등등 함께 와서 먹기 좋은 가게에요 완젼 강츄!!!,희정,6달 전,동동
5,"🌿 숨겨진 커피 맛집 발견! ☕🍪

드디어 내 취향을 저격하는 카페를 찾았어요! 문을 열고 들어가는 순간부터 기분 좋아지는 공간, 그리고 첫 모금에서 확신하게 되는 ‘진짜 맛있는 커피’의 존재감.

📌 커피
이곳의 커피는 그냥 맛있는 수준이 아니라, 한 잔 한 잔 정성이 느껴지는 퀄리티. 깊고 부드러운 바디감에 산미가 딱 적당히 살아 있어서, 누구나 부담 없이 즐길 수 있는 완벽한 밸런스!

📌 호두초코쿠키 🍪
쿠키가 이렇게 맛있어도 되나요? 겉은 바삭, 속은 꾸덕~한데 호두의 고소함과 초콜릿의 진한 풍미가 환상의 조합을 이뤄요. 커피랑 같이 먹으면 그야말로 행복 그 자체!

📌 바모스라떼 ☁️
이 집의 시그니처, 바모스라떼. 한 모금 마시는 순간 ""와, 이건 진짜다!"" 소리가 절로 나오는 맛! 부드러운 크림이 혀끝을 감싸면서 고소하고 달콤한 라떼와 어우러지는데, 이거 중독성 장난 아니에요.

📌 직접 만든 바닐라 시럽 🌿
보통 카페에서는 바닐라 시럽 그냥 쓰는데, 여기는 직접 만들어서 그런지 바닐라 향이 더 깊고 자연스러워요. 너무 달지 않고 은은한 단맛이 커피와 찰떡궁합!

결론? 이 카페, 맛도 분위기도 모든 게 완벽하니 꼭 한 번 가보세요. 한 번 가면 단골 예약! 💛✨",Andre Picolo,1달 전,바모스(vamos)커피
4,"스프는 삼계탕같은 느낌의 걸쭉한 맛
면은 약간은 소면같은 뚝뚝 끊기는 식감
닭가슴살 차슈는 적당히 탱글
멘마는 두껍고 단단

스프가 미친놈이지만 면이 취향이 아니라...
잘먹었습니다.",Potato fry,1달 전,라멘파이터즈
3,"🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️🙇🏻‍♂️

📍 라멘파이터즈

🏃‍♂️‍➡️ 서울 마포구 동교로38길 27-14 1층

🍜 토리파이터

🤑 10.000 원

#라멘 #연남동라멘 #라멘파이터즈 #ラーメン",돌문어숙회,2주 전,라멘파이터즈
5,"멘마와 국물이 인상깊었던 가게
재방문의사 있음",김동현,1주 전,라멘파이터즈
5,,이현아,1달 전,라멘파이터즈
5,"일반 주택의 2층에 있습니다. 아파트 같은 느낌이에요. 훌륭한 70년대 스타일의 커피숍. 그들의 재생목록은 60년대와 70년대에 중점을 두고 있습니다. Stevie Nicks, Beatles, Bee Gees, Sam Cooke… 분위기가 아주 좋아요. 페이스트리도 제공합니다.",Christian Breitkreutz,1달 전,겸사서울
5,"홍대꼬치맛집 야키토리우노!!
여기 야키토리4종세트 가성비넘 좋아요!!
꼬치는 하나같이 잘 구워져서 넘 맛있고 사이드로 주문한 치즈통감자 역시 비주얼도 맛도 훌륭했습니당
분위기도 좋고 술도 다양해서
아주 만족스러웠어요",돼지교수님,2주 전,우노
