사업장명	검색결과 가게명	평점	리뷰 수
땡스오트	THANKS OAT Yeonnam 땡스오트 연남	4.5	281.0
랩1(LAB1)	(주)랩241	3.6	16.0
백식당	백식당 Beak Restaurant	4.4	15.0
스테이 피(stay P)	연남 이탈리아레스토랑 스테이피	5.0	4.0
그로떼(Grotte)	그로떼 와인&위스키	5.0	3.0
랫댓(Rat that)	랫댓	3.8	53.0
심원	심원 SIMONE 心源	4.1	76.0
라멘 롱 시즌(japanese ramen long season)	라멘 롱시즌	4.6	7.0
란콰이진(LanKwaiJin)	연남동 술집 란콰이진	4.2	71.0
파출소 옆 포차 1987	파출소옆포차 a Korean-style forklift bar	4.1	35.0
카프(CAFF)	카프 커피	5.0	2.0
디막	디막 (Di Mak)	4.9	172.0
환대(hwandae)	환대	5.0	3.0
플롭(PLOP)	플롭 연남	3.8	17.0
(주)터틀힙	turtlehip 터틀힙	4.6	65.0
주원(JOOWON)	주원	5.0	2.0
풀린(fullin)	풀린	4.9	15.0
티브커피하우스(Teebcoffeehouse)	티브커피하우스 TEEB COFFEEHOUSE	4.8	6.0
카페 언타이틀(cafe untitle)	언타이틀 카페&바	4.0	2.0
클럼지(Clumsy)	클럼지베이커리	4.8	10.0
한글	한글 Hangeul	4.8	12.0
연남고집	연남고집 (YeonNam-Gojip)	4.8	6.0
쿄라멘(Kyo ramen)	쿄 라멘	4.5	217.0
포가레이(Pho ga le)	포가레	4.4	124.0
힠컵(hiccup)	힠컵	4.6	33.0
파크 애비뉴(Park Avenue)	파크애비뉴게스트하우스	4.2	130.0
리피칩(Leepicheep)	리피칩	4.7	3.0
니꾸킹 버거(NIKU KING BURGER)	니꾸킹버거	4.6	41.0
코메아벨렘(꼼마벨렘COMME A BELEM)	코메아벨렘	4.3	25.0
용왕포차	용왕포차(Yongwangpocha)	4.5	2.0
아트와떵(a trois temps)	아트와떵	4.5	14.0
제로밥상 설탕없이 완벽한한끼 연남점	제로밥상	3.0	2.0
오버딥(Over Deep)	오버딥	4.6	31.0
무쇠김치삼겹살연남 주식회사	무쇠김치삼겹 연남 맛집 고기집ㅣ弘大 レストラン サムギョプサル グルメ	4.8	30.0
위치앤그레텔	위치앤그레텔 Cafe Witch and Gretel	4.8	8.0
플러피(Fluffy)	플러피 연남	4.9	35.0
오뗄 드 꾸뜨	Hotel De GGOODD 오뗄드꾸뜨	4.5	61.0
헬로(Hello)	헬로	4.3	20.0
스시정인	스시정인 Sushi Jung In	4.3	3.0
프롬더맘(from the mom)	프롬더맘	4.7	3.0
미드나잇플레져(Midnight pleasure)	미드나잇플레저	4.7	38.0
온실(onsil)	온실	3.3	6.0
우삼집	우삼집 Woosamzip	4.9	74.0
디트로이트 피지스	디트로이트피자 Detroit Pizzzes	4.9	132.0
수수연남	수수연남 SUSU Yeonnam	5.0	10.0
양식구옥	양식구옥(yangsikguok)	4.7	21.0
살롱드민	SALON de MIN 살롱드민	5.0	1.0
왓에버 타코(Whatever TACO)	왓에버타코	3.9	26.0
메종 브리크(Maison Brique)	메종브리크	4.8	9.0
더배드저널	The Bad Journal 더배드저널	5.0	15.0
연주방 어페어	연주방어페어 Yeonjuvin' affair	4.9	58.0
바모스(vamos)커피	바모스커피	5.0	1.0
웍스터(WOKSTER)	웍스터 연남	5.0	1.0
베비돌	BABYDOLL 베비돌	5.0	18.0
원러브서울	ONE LOVE SEOUL 원러브서울	5.0	3.0
플루밍(Pluming)	플루밍	5.0	1.0
도부(Dobu)	도부	4.4	29.0
카탈리스트	바 카탈리스트 BAR Catalyst	5.0	43.0
스몰타운스몰(small town small)	스몰타운스몰	5.0	1.0
헤이죠지	Hey George(헤이죠지)	4.5	44.0
카페밀노(cafe MILNO)	카페밀노	4.4	7.0
콘티키빠(kontikibba)	콘티키빠	5.0	2.0
모래미집	모래미집 moraemi jib	5.0	2.0
옐로우미플(Yellow Meeple)	옐로우미플	4.8	52.0
디아더(D.other)	디아더	4.6	59.0
일쩜오플로어커피(1.5 Floor)	1.5floor coffee	4.6	37.0
디어다온(DEAR DAON)	디어다온(deardaon)	5.0	6.0
코티지블루(cottage blue)	코티지블루	4.9	10.0
코리코카페(Koriko Cafe)	코리코 카페	4.8	667.0
플루프커피(Plouf coffee)	플루프커피	4.7	10.0
도쿄 쿠루미(Tokyo Krumi)	도쿄쿠루미	4.4	98.0
펠른(perlen)	카페 펠른 하우스 (Cafe) Perlen HAUS	4.5	193.0
카페스콘	카페 스콘 CAFE SKÖN	4.1	267.0
엘비스텍(EL bistec)	엘비스텍	4.5	125.0
커피냅로스터스 연남동	커피냅로스터스 연남동 (COFFEE NAP ROASTERS Yeonnam)	4.5	216.0
오츠커피 연남	오츠커피 연남 Oatscoffee Yeonnam	4.4	325.0
마데라(Madera)	마데라	5.0	8.0
오이소순대국	오이소 연남본점	4.7	66.0
피프 에스프레소 바	피프에스프레소바 Pfiff Espresso Bar	4.7	142.0
아벡쉐리 더 파크	Avek Cheri the park 아벡쉐리 더파크	4.9	26.0
카멜로연남(CAMELLO)	CAMELLO yeonnam (카멜로연남)	4.6	93.0
스탠딩박스	스탠딩박스 Standing Box	4.5	15.0
Amare Tutti(아마레뚜띠)	아마레뚜띠	4.4	15.0
헬로인디아(Hello india)	헬로인디아	4.7	283.0
우노	야키토리 우노	4.9	20.0
준무	이자카야 준무	5.0	1.0
프런티어(Frontier)	프런티어	5.0	3.0
차니베어 스테이션(Chanibear Station)	차니베어스테이션	4.8	31.0
라보아르	라보아르 (Ravoire)	5.0	2.0
메리트리(meritree)	메리트리	3.9	21.0
곤로	곤로 야끼니꾸	4.2	86.0
코코리코(COCORICO)	코코리코	5.0	23.0
낭풍	낭풍 김치찌개	4.2	49.0
사루카메(SARUKAME)	사루카메	4.4	480.0
팻어케이크(Pat a cake)	팻어케이크	4.2	51.0
미로 베이크(Miro Bake)	미로베이크	4.7	3.0
라프 하우스(RAF HOUSE)	라프하우스	3.5	8.0
마인드엔터(Mind enter)	마인드엔터	5.0	1.0
하이하우스(High House)	하이하우스	5.0	2.0
에브리데이해피벌스데이(Everyday Happy Birthday)	에브리데이 해피벌스데이	4.1	21.0
팔도강산버거(8nrm)	8nrm 팔도강산버거 연남	5.0	11.0
연남 육미안	육미안 연남점	4.9	100.0
오파츠	오파츠 OOpart	4.7	3.0
뉴오더클럽 NewOrderClub	뉴오더클럽 연남	4.3	308.0
카페 드 래빗(Cafe de rabbit)	카페 드 래빗	4.5	55.0
슬로워크(slowalk)	슬로워크	5.0	1.0
어니스트팬케이크(HONEST PANCAKES)	어니스트 팬케이크	4.0	91.0
파미고 츄레리아(Famigo Churreria)	파미고 츄레리아	4.9	342.0
소프트컬러(softcolor)	소프트컬러	4.9	7.0
그리스마스(Greecemas)	그리스마스	4.4	30.0
야키토리묵	야키토리 묵 / やきとり ムク	4.4	286.0
이퀄(equal=)	이퀄 연남 equal yeonnam	5.0	9.0
에이콘팬트리(Acorn Pantry)	에이콘팬트리 연남	5.0	1.0
폴리스팬케이크	폴리스팬케이크 (polyspancake)	4.8	48.0
오코노미야키 포비 연남	포비연남	3.5	4.0
우와 연남점	우와	3.7	11.0
아메리칸 하우스	아메리칸 하우스. American House	5.0	27.0
ㅇㄸㄸ (아뜨뜨)	아뜨뜨	4.2	62.0
솔솥	솔솥 연남점	4.1	316.0
566라멘(566RAMEN)	566라멘	4.4	72.0
피스케스(Pisces)	피스케스	5.0	7.0
우미집 1947	우미집1947 牛尾集 WOOMIJIP	4.9	70.0
감나무집(1층)	감나무집기사식당	3.6	2521.0
해브(HAVE)	해브(have)	4.5	19.0
유니르(Unir)	유니르	4.6	5.0
피에트라(pietra)	피에트라	4.3	29.0
문득	문득 연남점	4.5	4.0
missik	야키토리 미식서울(mi ssik)	4.3	57.0
김뿌라	김뿌라 연남동본점	4.2	246.0
이스트사이드 치킨 샌드위치(Eastside Chicken Sandwich)	이스트사이드 치킨 샌드위치	4.9	36.0
히포 브런치하우스	히포 브런치하우스 Hippo brunchhaus	4.6	158.0
비스트로 가마	비스트로 가마(Bistro gama)	4.6	105.0
쿄이(kyoi)	카페 쿄이 cafe kyoi	5.0	16.0
데일리라운드	데일리라운드 DailyRound	4.3	22.0
덴(Den) 연남점	덴 후카바 연남점	5.0	235.0
성산회관	성산회관 갈비화로구이	5.0	9.0
갓잇(GODEAT)	갓잇 서초점 GODEAT Seocho	5.0	2.0
토요코인	토요코인 서울 영등포	4.3	649.0
콩카페 연남점(CONG CAPHE)	콩카페 연남점	4.3	49.0
청월당	야키토리 청월당	3.0	1.0
혼시츠	혼시츠 (本質)	5.0	2.0
루치펠	루치펠 집사카페	3.6	5.0
스테이키스트(STEAKIST)	스테이키스트	4.8	13.0
알앤엠(Are&am)	Cafe Are&am	4.6	44.0
그리너 연남본점	그리너	4.3	62.0
장작집	장작집 연남본점	4.5	277.0
곰면옥	1988 곰면옥	4.5	44.0
시샤 누에보(SHISHA NUEVO)	SHISHA NUEVO 시샤 누에보 후카바	5.0	170.0
오에스디에스 연남(Osds 연남)	Osds 연남	3.3	7.0
죠죠 연남점(JYO JYO)	죠죠 연남점	4.9	199.0
안주먹고 팔자피자	팔자좀피자	4.2	6.0
카페 스타플레이스	스타벅스 종로플레이스점	4.3	77.0
서대문양꼬치(본점)	서대문 양꼬치 BAR	3.8	307.0
팽페르뒤(Pain perdu)	Pain Perdu 팽페르뒤	4.7	18.0
베리머치(Berry Much)	베리베리베리머치 - Berry Berry Very Much	3.9	23.0
에프이에이티.(feat.)	에프이에이티	5.0	2.0
장농속 2호점	장농속	4.3	76.0
영지인	영지인 연남점	5.0	4.0
연미정	연미정 연남점	4.7	24.0
청화접	연남동 청화접	4.4	17.0
연남동 미로끝	미로끝	4.0	1.0
구테로이테(gute Leute) 연남점	구테로이테 연남점	4.0	6.0
슬런치	슬런치 팩토리	4.1	218.0
코발트 무드(Cobalt Mood)	Cobalt Mood 코발트무드	3.9	13.0
우아하게 스테이크	우아하게 연남	4.9	17.0
토라에몽	나카지마 토라에몽	4.6	10.0
바다약방	바다약방 연남본점	5.0	46.0
연남토마	연남토마 연남본점	4.2	239.0
봉구비어	봉구비어 연남동점	3.5	33.0
항저우 샤롱바오	항정샤오롱바오		
모닝캄 커피로스터스	모닝캄커피랩	4.4	91.0
리이슈커피	리이슈 커피 로스터스	4.6	26.0
포도알(PoDoR)	PoDo R	5.0	5.0
베따(Vetta)	Vetta (베따)	5.0	4.0
블루보틀커피코리아 연남	블루보틀 연남 카페	4.4	65.0
고미	고미푸딩	5.0	8.0
해피벌스데이	에브리데이 해피벌스데이	4.1	21.0
시실리	시실리 본점	3.9	75.0
연남동 로이로이	로이로이	4.6	31.0
녹원쌈밥	녹원쌈밥 연남점	4.5	71.0
감나무집	감나무집기사식당	3.6	2521.0
그믐족발	그믐족발 연남점	4.7	14.0
연남제빵소	연남빵집	4.0	3.0
서울아일랜드	그린아일랜드	3.5	11.0
연남친친	친친	4.2	57.0
(주)아각아각	아각 아각	4.2	164.0
슬로우캘리	슬로우캘리 연남본점	4.5	221.0
경양카츠 연남점	경양카츠	4.1	309.0
달콤다정	달콤다정 연남점	4.6	32.0
더 단단	단단	4.3	113.0
풍천장어	풍천장어 연남점	4.5	1795.0
판초(Pancho)	Pancho(판초)	4.9	10.0
미미램 양꼬치 2호점	미미램양꼬치	3.9	193.0
서대문양꼬치	서대문 양꼬치 BAR	3.8	307.0
와린(WARIN)	WARIN	5.0	1.0
풀뜯는돼지(별관)	풀뜯는돼지	4.6	238.0
대충 유원지	대충유원지 카페	4.2	145.0
리틀파파포	리틀파파포 연남점	4.3	210.0
리틀파파포	리틀파파포 연남점	4.3	210.0
샌드스톤	샌드스톤커피랩	5.0	8.0
모리노코	카페 모리노코	4.5	2.0
올웨이즈어거스트제작소	올웨이즈어거스트 연남	4.6	5.0
그레이비	그레이비 버거	5.0	6.0
고시고시	고시고시 연남	4.4	28.0
테라다식당 연남점	테라다식당 신사본점	3.7	7.0
오랑지 Oh!range	Ohrange	4.6	84.0
36.5도여름	36.5도 여름 동쪽점	4.6	90.0
커피 리브레	커피 리브레 연남점	4.3	430.0
화월 카게츠 연남점	화월 연남점	4.7	7.0
마포구 연남돈 1층	마포구연남돈	5.0	11.0
마포구 연남돈 2층	마포구연남돈	5.0	11.0
아노브 연남	아노브 피자 연남점	4.2	84.0
그동네떡볶이	그동네떡볶이 연남점	4.3	30.0
수부니흐	수브니흐	4.3	87.0
연백딸기모찌	연백딸기모찌 연남점	4.0	2.0
앳더모먼트	카페 앳더모먼트	4.8	6.0
초이다이닝	초이다이닝 연남	4.4	102.0
연희동할머니네	연희동할머니네 연남동	3.9	279.0
니시무라멘 연남본점	니시무라멘서울(연남본점)	4.4	47.0
감정선프로젝트 베이킹 홍대연남점	감정선프로젝트 연남점	5.0	1.0
카페인홀릭(CAFE IN HOLIC)	CAFE IN HOLIC	4.0	6.0
소하염전(연남)	소하염전 연남	4.4	32.0
주재.	주재	5.0	6.0
어반써티 연남(urban30 yeonnam)	어반써티연남 Urban30Yeonnam	5.0	2.0
우리할매떡볶이(연남점)	우리할매떡볶이 홍대연남점	4.6	8.0
백스트리트 피자	백스트리트 피자 연남점	4.8	327.0
바결	바 결	4.9	42.0
송가네감자탕	송가네감자탕 본점	3.9	1147.0
에이제곱	카페에이제곱	4.2	6.0
(주)툭툭누들타이	툭툭누들타이	4.1	1452.0
지후식당연남	지후식당	5.0	2.0
연:덮	연덮	4.9	13.0
종로계림닭도리탕원조(연남점)	종로계림닭도리탕 연남점	4.5	22.0
에스프레소 그자체, 연남	에스프레소 그자체	4.7	3.0
유니드마이요거트	유니드마이요거트 연남	4.5	51.0
홍콩식당 연남점	홍콩식당연남	4.9	10.0
갤러리 코랄 리프 커피	갤러리코랄리프커피	5.0	1.0
서점리스본 포르투	서점 리스본 & 포르투	4.5	44.0
여의주	여의주점	4.4	13.0
한성축산정육식당	한성축산식당	4.2	31.0
월강돼지국밥	월강부산돼지국밥	4.3	699.0
어반루프(UrbanRoof)	어반루프 Urban Roof	4.3	10.0
고스트블랙 연남점	고스트블랙연남	4.5	113.0
오늘은 육회 연어	오늘은육회연어	5.0	1.0
땅땅치킨(연남점)	땅땅치킨연남점	4.3	4.0
연남타코	연남 타코	4.9	7.0
미로 95	미로95	4.0	8.0
아민연남	아민 연남	4.9	200.0
연남 화담	연남화담	5.0	5.0
테판 클럽	테판클럽	5.0	2.0
질리(Gilli)	질리(gilli)	4.6	75.0
카페 늘보	카페늘보	4.5	26.0
디저트 뷰	디저트뷰	4.8	5.0
연남화로굼	연남화로	4.3	122.0
순대일번지1	순대일번지	4.0	654.0
비뮤티 커피	비뮤티커피	4.8	6.0
고깃집 아들	고깃집아들	4.4	28.0
연남 한양집	연남한양집	4.9	38.0
최사장네 닭	최사장네닭	3.9	247.0
쿄다이 텐동	쿄다이텐동	4.3	7.0
진우네초밥	진우네 초밥	4.5	102.0
쿠로코 식당	쿠로코식당	4.5	19.0
김 he said yes	he said yes	4.7	14.0
쿠히치 연남점	쿠히치 연남	3.7	12.0
브래디스커피	브래디스 커피	4.6	34.0
연남 스페이스	연남스페이스	5.0	1.0
연남동 와이탑	연남동와이탑	4.9	36.0
꽈페 연남본점	꽈페 연남점	4.2	60.0
이억만 껍데기	이억만껍데기	4.4	46.0
연남동 칼국수	연남동칼국수	4.0	3.0
라무진연남점	라무진 연남점	4.2	93.0
비스트로오라	비스트로 오라	4.6	56.0
따순밥 꼬순전	따순밥꼬순전	5.0	1.0
커스텀 샐러드	커스텀샐러드	4.8	12.0
프랭클린스 델리	프랭클린스델리	4.7	3.0
레이트 체크아웃	레이트체크아웃	4.6	5.0
곱깨비 연남본점	곱깨비연남본점	4.9	25.0
별빛카페달빛차	별빛카페 달빛차	4.4	38.0
커피볶는 김대리	커피볶는김대리	4.8	10.0
연남동 오뎅파는집	연남동오뎅파는집	3.8	13.0
더스테이크쥬벤쿠바	더스테이크 쥬벤쿠바	4.8	21.0
무슈부부 커피스탠드	무슈부부커피스탠드	4.7	101.0
야키토리 고꼬 연남	야키토리 고꼬연남	4.9	48.0
마스타 하이볼 연남점	마스타하이볼 연남점	5.0	1.0
누구나홀딱반한닭연남점	누구나홀딱반한닭 연남점	4.8	5.0
미스터육회연어왕 마포점	미스터육회연어왕마포점	4.0	1.0
은성 돌판한우구이 연남점	은성돌판한우구이 연남점	5.0	5.0
업투미(up to me)	업투미 (up to me)	4.6	87.0
리틈	리틈	5.0	4.0
미래회관 연남점	미래회관 연남점	4.9	17.0
라멘파이터즈	라멘파이터즈	4.3	4.0
겸사서울	겸사서울	5.0	1.0
진청유점	진청유점	5.0	4.0
첨밀밀	첨밀밀 연남점		
멘야코이시	멘야코이시	4.8	4.0
포포민즈낫띵	포포민즈낫띵	4.5	11.0
모뎐	모뎐	4.4	12.0
Osds 파르크	Osds 파르크	4.3	3.0
화청	화청	4.3	3.0
스시미가쿠	스시미가쿠	5.0	1.0
청백	청백	4.8	4.0
청춘물약	청춘물약	3.7	3.0
순대일번지	순대일번지	4.0	654.0
이이요이 연남	이이요이 연남	5.0	7.0
샵샵 연남점	샵샵 연남점	5.0	1.0
문주가무	문주가무	5.0	1.0
쎄쎄쎄	쎄쎄쎄	4.3	10.0
연남향콩	연남향콩	5.0	9.0
열정도 곱상	열정도 곱상	4.2	180.0
하이촨촨	하이촨촨	4.8	4.0
포담 티하우스	포담 티하우스	4.9	49.0
일체마부시	일체마부시	4.8	26.0
키슈앤피즈(Quiche Nfizz)	키슈앤피즈(Quiche Nfizz)	5.0	30.0
노띵크	노띵크	4.5	2.0
삐딱	삐딱 연남점	4.9	303.0
모닥불	모닥불	4.8	5.0
동일	동일	5.0	2.0
주책다방	주책다방	5.0	2.0
연교 2호점	연교 2호점	4.3	7.0
하타네 연남점	하타네 연남점	4.9	622.0
푸치케	푸치케	3.0	1.0
연남냉삼	연남냉삼	4.0	2.0
우이락 연남점	우이락 연남점	5.0	12.0
일쏠레(IL SOLE)	일쏠레(IL SOLE)	4.0	7.0
포가	포가	4.4	14.0
끝집	끝집	5.0	3.0
제일 연남	제일 연남	4.0	1.0
연남파스타야	연남파스타야	5.0	3.0
음무아	음무아	4.0	1.0
모모칼국수	모모칼국수	4.7	3.0
비틀비틀	비틀비틀	4.1	8.0
미담	미담	4.0	2.0
고덕	고덕	4.7	14.0
연남짚	연남짚	5.0	1.0
라헬의부엌 연남점	라헬의부엌 연남점	2.0	2.0
연남오뎅	연남오뎅	4.5	20.0
꾸다방	꾸다방	5.0	1.0
연남청춘	연남청춘	4.0	1.0
뷔자데	뷔자데	4.5	4.0
누크녹	누크녹	5.0	238.0
모모	모모	4.3	7.0
토쿠이	토쿠이	5.0	1.0
롱베케이션	롱베케이션	3.3	11.0
샤브라운지	샤브라운지	4.8	41.0
연남 잠수함	연남 잠수함	5.0	1.0
믜요	믜요	5.0	1.0
히사시돈부리	히사시돈부리	4.3	10.0
진세이	진세이	4.4	9.0
로컬스티치 연남	로컬스티치 연남	5.0	3.0
야반도주	야반도주	5.0	1.0
판다딤섬	판다딤섬	4.1	15.0
카나데	카나데	5.0	3.0
바롤로	바롤로	4.7	10.0
탄포포	탄포포	4.6	109.0
젠틀키친	젠틀키친	4.5	39.0
부타노온센	부타노온센	4.9	7.0
연남 다저스	연남 다저스	4.9	8.0
연희면관	연희면관	4.9	14.0
기호	기호	4.9	8.0
모모키친	모모키친	4.5	19.0
규카츠정 연남점	규카츠정 연남점	4.5	15.0
나카스하이볼클럽	나카스하이볼클럽	4.4	25.0
카페 오르트	카페 오르트 연남	5.0	2.0
믹슬로우	믹슬로우	5.0	1.0
루바브	루바브	4.6	5.0
멜티드	멜티드	4.8	37.0
맡기다	맡기다	5.0	1.0
쿤댕	쿤댕	4.9	13.0
파이인더샵	파이인더샵	4.6	172.0
이끔	이끔	3.3	7.0
카츠몬스터 연남본점	카츠몬스터 연남본점	4.9	127.0
한공간	한공간	5.0	803.0
카츠요	카츠요	4.9	27.0
쿠보	쿠보	4.9	7.0
썸모어델리	썸모어델리	4.3	7.0
연남파도	연남파도	5.0	1.0
우탕	우탕	4.4	13.0
리차드하우스 연남	리차드하우스 연남	4.7	30.0
중화복춘 살롱	중화복춘 살롱 시그니처	4.5	69.0
쿠시모토	쿠시모토	4.3	4.0
연남 안테이쿠	연남 안테이쿠	4.9	77.0
덕자도요	덕자도요	4.2	6.0
무겐스위치	무겐스위치	4.5	117.0
레더쿡	레더쿡	4.0	1.0
국숯집	국숯집	4.9	15.0
불철	불철	5.0	2.0
클래식당	클래식당	3.9	51.0
하나킨	하나킨	5.0	12.0
바란스	바란스	5.0	1.0
만끽	만끽	5.0	1.0
춘희	춘희	5.0	1.0
수을관	수을관	4.7	11.0
유언비어	유언비어	3.5	2.0
동차밥	동차밥	4.5	138.0
육면달	육면달	5.0	2.0
육화주담	육화주담	5.0	28.0
옥자	옥자	4.6	56.0
팜팜발리	팜팜발리	5.0	3.0
우주옥	우주옥	4.5	60.0
하나라멘	하나라멘	4.6	124.0
평화연남	평화연남	4.2	99.0
올랑올랑	올랑올랑	3.9	26.0
하울 인 더 바	하울 인 더 바	4.8	23.0
디벨롭연남	디벨롭연남	4.3	10.0
물레방아	물레방아	4.4	17.0
연남5701	연남5701	4.5	65.0
오복수산 연남점	오복수산 연남점	4.2	390.0
계담다	계담다	4.3	152.0
현대음률	현대음률	4.6	18.0
헤도네	헤도네	4.8	22.0
풀뜯는돼지	풀뜯는돼지	4.6	238.0
거북이의 꿈	거북이의 꿈	4.7	64.0
루트커피	루트커피	4.8	8.0
제이드럭	제이드럭	5.0	7.0
비공간	비공간	5.0	2.0
요즘	요즘	5.0	12.0
꼬요식당	꼬요식당	4.5	22.0
해피치즈스마일 연남점	해피치즈스마일 연남점	4.6	165.0
월량관	월량관	4.4	133.0
제스티살룬 연남	제스티살룬 연남	4.4	279.0
책크인	책크인	5.0	2.0
홍정기참치	홍정기참치	4.2	20.0
연주방	연주방	4.3	39.0
가원 연남점	가원 연남점	4.7	6.0
리리코	리리코	4.3	23.0
심플리타이 연남점	심플리타이 연남점	4.0	344.0
아카사니	아카사니	4.0	27.0
열정타코	열정타코	4.0	46.0
카마카츠	카마카츠	4.3	23.0
연남 광안리	연남 광안리	4.2	15.0
두루미	두루미	4.6	51.0
미르	미르	4.9	7.0
여덟	여덟	4.8	16.0
유니의 우아한 식탁	유니의 우아한 식탁	4.3	45.0
분식	분식	4.8	20.0
대승곱창	대승곱창	4.3	3.0
온정	온정	4.4	74.0
그랜드마마	그랜드마마	1.0	1.0
잔상	잔상	4.9	12.0
르누아즈	르누아즈	4.9	9.0
장작새	장작새	5.0	3.0
톨테일	톨테일	4.9	12.0
호안끼엠	호안끼엠	4.7	10.0
하쿠텐(白天)	하쿠텐(白天)	4.5	242.0
책방곱셈	책방곱셈	4.7	6.0
장농속	장농속	4.3	76.0
파델라	파델라	4.6	18.0
피크닉마나올라나	피크닉마나올라나	4.6	8.0
연피랑	연피랑	4.0	30.0
코이크	코이크	4.2	41.0
연남마실	연남마실	4.8	82.0
이주방	이주방	4.3	28.0
일더하기이분의일	일더하기이분의일	5.0	5.0
키친숲	키친숲	4.5	30.0
연남로지	연남로지	5.0	4.0
연남하라	연남하라	3.0	2.0
올바른김밥	올바른김밥	4.2	19.0
돈파스팔레	돈파스팔레	3.8	66.0
살선생	살선생		
이노시시	이노시시	4.3	102.0
하모네꼬	하모네꼬	4.7	18.0
발리문	발리문	4.4	222.0
연남복돼지	연남복돼지	3.4	7.0
조원	조원	4.3	23.0
스시지현	스시지현	4.7	171.0
바람커피	바람커피	4.7	111.0
정민옥	정민옥	4.0	1.0
연남목화	연남목화	5.0	12.0
카쿠시타	카쿠시타	4.4	168.0
작당모의	작당모의	4.0	150.0
회의	회의	4.1	8.0
풍월	풍월	4.0	1.0
모츠모츠	모츠모츠	4.4	74.0
쨈지달	쨈지달	4.8	55.0
서당개2년로스터스	서당개2년로스터스	4.6	85.0
저스트텐동 연남본점	저스트텐동 연남본점	4.5	471.0
주막	주막	4.2	234.0
연남동 베르데	연남동 베르데	4.4	506.0
연어롭다	연어롭다	4.3	140.0
안스키친	안스키친	5.0	1.0
백경	백경	4.7	36.0
연교	연교	4.2	575.0
꿀돼지집	꿀돼지집	4.5	114.0
줜막걸리아노	줜막걸리아노	4.4	42.0
우메이징	우메이징	4.8	8.0
소점	소점	4.8	219.0
무명요리사	무명요리사	4.5	40.0
감나무집기사식당	감나무집기사식당	3.6	2521.0
연남곱창타운	연남곱창타운	3.7	142.0
카페온도	카페온도	4.4	7.0
언더랩	언더랩	5.0	12.0
칠링	칠링	5.0	1.0
요미우돈교자 연남점	요미우돈교자 연남점	4.1	37.0
밀라노식당	밀라노식당	4.3	82.0
풍천장어 연남2호점	풍천장어 연남2호점	5.0	2.0
회뜨는총각	회뜨는총각	4.0	30.0
산왕반점	산왕반점	4.1	383.0
부추긴 돼지	부추긴 돼지	5.0	9.0
상하이음식	상하이음식	5.0	1.0
느린마을양조장 연남점	느린마을양조장 연남점	3.9	297.0
미쁘동	미쁘동	4.1	475.0
역전할머니맥주연남점	역전할머니맥주연남점	4.4	67.0
향미	향미	3.9	422.0
향미	향미	3.9	422.0
오복수산시장	오복수산시장	4.8	36.0
대환영	대환영	4.0	21.0
오물오물	오물오물	4.1	61.0
진가	진가	4.0	152.0
연남주점	연남주점	5.0	1.0
미미램양꼬치	미미램양꼬치	3.9	193.0
하프노트	하프노트	4.1	12.0
카시	카시	4.1	43.0
숨은골목	숨은골목	4.4	134.0
야관문	야관문	4.3	3.0
머지사이드	머지사이드	4.0	1.0
와인바별채	와인바별채	4.6	13.0
