사업장명,작성일,작성자,작성자 정보,별점,리뷰 내용,이미지 링크
연남술비,1달 전,신수연,지역 가이드 · 리뷰 21개 · 사진 34장,별표 5개,연남동에서 어디갈까 찾다가 방문했는데 살치살 스테이크 메쉬 포테이토도 너무 맛있고 모차렐라 김치필라프도 너무 맛있어요. 분위기가 좋아서 자주 방문할 것 같습니다!,
연남술비,1달 전,Ja Yeong Choi,리뷰 7개 · 사진 7장,별표 5개,우연히 친구 추천으로 방문했다가 너무 좋아서 리뷰 남깁니다. 분위기 있고 음식도 다 맛있어요! 직원분들도 친절해서 기억에 남는 곳입니다!재방문하겠습니다.,
연남술비,1달 전,박미진,지역 가이드 · 리뷰 12개 · 사진 3장,별표 5개,"데이트 코스로 추천 드립니다 ㅎㅎ
저녁쯤에 방문해서 간단한 메뉴에 술 한 잔 하다보면 연인과의 사이가 더 좋아질 수 있다는,,,♡
분위기도 좋구 가격대도 착하고 즐거운 시간 보내다 왔어요~!",
연남술비,3주 전,최핑핑,리뷰 4개 · 사진 1장,별표 5개,연남동 데이트코스로 다녀왔습니다. 여자친구 데려갔는데 좋아해서 다행이네요. 어지간해선 리뷰 안다는데 그만큼 만족했습니다.^^,
연남술비,8달 전,박채림,리뷰 1개 · 사진 3장,별표 5개,"연남동 산책 하다가 들어갔는데
분위기도 너무 좋고 음식이 퀄리티 미쳤습니다...
배가 불러서 다 못먹어본게 아쉬워요 ㅠㅠㅠ
여기 친구들 모임이나 데이트로 좋을거같아요","https://lh3.googleusercontent.com/geougc-cs/AB3l90CS17bIfTZ9FOAxcqpYRG4X8XdFDvmNMsoPDSu-r1vQ6akhlNyu0BRTaiY0FtommeS65IA446owS-btHtsMCxWISnx3oOJchDVlhU3pTsZkHfU64Ub89VZcLFW30eHj_jCMNo4=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90CYhFGKt4icDHpWdp-_jtgW4Y7BDL71N-ANDDiNP048YQPeGFu2OfxbDO5G9Lvc6TvRRnpV-rECyrUbp9cfAzhD5kh_9WzY3DvDub3Bij_r-_SBq2P2UnLi18VGuoEehrfayhMXdA=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90BgXWpeQuWeB4cmWuM8APlZzSnM8Ucsabr4HvK4d69XlQjJNwNEfDdoFe3UOrJmHqg3_CmajzqKNLdCdN4-G3Fb2FBEt5dp1Lbn9166BU0vQWqbTncVv8ifyOYelfJ4quNp_hdM=w300-h225-p"
연남술비,1달 전,송카투,리뷰 2개,별표 5개,친구랑 연남동 갔다가 분위기 좋아보여서 들어갔는데 장난아니더라구요! 맛이며 분위기며 합격???? 집이랑 가까워서 다음에 또 오려구요????…,
연남술비,2달 전,홍연서,리뷰 2개,별표 5개,"시킨거 다 맛있어서 넘 감동..
특히 감자채전이 너무 맛있더라구요!
재료도 신선하고 칵페일도 너무 좋았어요~",
연남술비,1달 전,최선,리뷰 3개 · 사진 3장,별표 5개,"데이트 하러 갔는데 분위기 좋았고
술 종류가 많아서 취향대로 골라 마시기 좋았어요
감바스가 맛있었어요",
연남술비,2달 전,플러수,리뷰 2개,별표 5개,"연남동 갈때마다 들르게 되네요~
인테리어도 멋있고 음식이 다 맛있어요 ㅎㅎ
갈때마다 실패가 없어서 추천합니다.",
연남술비,2달 전,sunmee choi (밍블리),지역 가이드 · 리뷰 22개 · 사진 2장,별표 5개,"소개받아서 방문했는데 분위기도 너무좋고
음식퀄리티, 맛 모든게 완벽하네요 ㅋㅋㅋ
저녁모임하기 좋은장소에요!!",https://lh3.googleusercontent.com/geougc-cs/AB3l90AB0EpexXkZPrRW4cMAILHLjO73LbPSVq-ZQVL4BLDdByaGsOR70H92uZA9u2ETCoV1h9zZtEJVpHKqqzSC_CtQQulC62lsoPB0sOxgCvbQfjByjsnlnNvkNsnKFW8eX_68Bpq7yA=w600-h450-p
연남술비,3주 전,이세영,리뷰 2개,별표 5개,여자친구랑 방문했는데 맛있게 잘먹고 갔습니다:),
연남술비,3주 전,행찬이,리뷰 3개 · 사진 1장,별표 5개,나 술비 완전 러버임.... 며칠전에 친구랑 가고 2번가도 좋음 ㅠㅠㅠㅠㅠㅠㅠㅠ,
연남술비,2달 전,joy,지역 가이드 · 리뷰 32개 · 사진 101장,별표 5개,"아늑한 분위기와 놀라운 칵테일!
창의적이고 맛있는 칵테일과 함께 따뜻한 분위기를 느낄 수 있는 연남동의 이곳. 친구나 데이트와 함께 편안한 저녁 시간을 보내기에 딱 맞습니다!",
유메오뎅,1년 전,SEOWOOlog땡큐뽀유,지역 가이드 · 리뷰 52개 · 사진 166장,별표 5개,"핫플이니만큼 웨이팅은 당연히있구요
사람들이 많은데도 불구하고 직원분들 모두
웃는얼굴로 친절하게 잘대해주셨어염…","https://lh3.googleusercontent.com/geougc-cs/AB3l90AB-M6Pxf9GQrBj4tWliwMDD6s-nx33nOj7T-iznbmz7MB4XFduyzAdDGHYxmb2ToIwFxraYOTaPHFXZ9Qv5HAfX6u_rD70BE4t_aQsXgFaFbXAGlwidq0_ezxd4jYu8mICJWY=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90BwsHuWz9iE0kPxEZKClZXBb4GmmHMAjlycTmDO8h_Ru9SHFomBEScWHWyBmYJZclTjGisic9rxS8MZ00TacRjGCLHthbeGO6Xf554rlLpD3qvRLePtmCECz6lm9jQGCHtuw_7o=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90DtvgM3UPJwfWXousEXpqF4ocWD7H9IM8gOd7eNWP-vKmhOHMHPp8ivXMj36uYAsj8ebXI5Qw45-Qp7UaaMDsJzYK-Tp2SuLMWKsGnK259HH6t2g5N81CpbWwLd-q_VUXCH4C77=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90CPIgRQodtfo0ny4i-Tn-OoiORmNN9JT7238eyKNuLPY7I13uRaidVDEF_erjQ5U-VUjcHehGrtorRVbF5c_Z4VFH42qprUToiRrWqvoncFrccDauCbGKCDMWyMVngCK6_jj4gD0w=w300-h225-p"
유메오뎅,2년 전,Lina리나,지역 가이드 · 리뷰 115개 · 사진 915장,별표 5개,우연히 길 걷다가 들어갔는데 메뉴도 다양하고 맛있었어요!! 유자하이볼이랑 표고버섯튀김 감자고로케는 다음에 또 먹을 거 같아여,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DOfr40qnMddt0mrhMiAiKdW0bx9B-b671npBrfhlvHNdwvK7R-LmRvNIqN9mZ07Dyl_rJ5WBRJ1sc-4dNDIy1UR7X6gueQUyx8eWC7KHRCdXig_yDfwmNZjIJOzhRMRgZTBG9L=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90Ct5f9kd9R4LDlEBOyq0DSGluckUEP7wv_-petNMN9lDmCMViSyMBGc4B6blmJ8LisTDTUPMHB3X1CJ9ZUFBfD2VbqcphtH5yHseU9RiyiKK_kiaIP5Gd_o2fcYVrv6SPYVRHLD=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90Cob6Iy_8_VWcNacJM4LM9sI4TF1adEQ4pxSZ5XAH70hLTQBzLBOPa6TsRBSiA4PqxiFpAjX_Hf44QHZYyHlMzlY5vrrUU5Z4iuuXwB3CSaQXBDhVCJ1VWoT6gkHrSZoda5FA72=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90BpYIZr3w_Ksu_an8440DAL3t6A2KM99Gq8nAL1VPQ5E8NOVlKe9AQ9oE_RQCdHvdVidhHS72SHD1Tu8R7eEWIxWxBzZDu-guT2seXqc1HPXo40iO2DWLdh7YUPAZd-SQ7hrNlv=w300-h225-p"
유메오뎅,5달 전,Nana,"지역 가이드 · 리뷰 304개 · 사진 1,555장",별표 5개,좌석 좁고 시끄럽지만 오뎅 맛있고 친절해요,"https://lh3.googleusercontent.com/geougc-cs/AB3l90C9Bprlb21nRkdAb1yp5ZB__liFH6g4Kr2PGRnf0r1H7VVV-b01cL8nC7UNCcpb5EBylx1f2g_c1DTvtyf_Zb_uLl54OSymNHU6HtMuU3rXRGysSqO_5U6VnRghIjZnXBQ7mOk=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90BhGhgzdkU_U44SUU6ND0ZxWttEWaqSjT75peJdLUzuGJESq14NSkPjjKhTYv4Z25DrDMKzdxpsPd6sJZY7wRDTKV-g2Poq59k864tINf2iGjjKmezUOLm7WaAQ_xs5IPv49L0i=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90AXf0HqIegrHtSaaLhqjy6wxV-AamgJj-nT954FxaQRjcy-pV8NbHridrxGLHT-m34FMjKObX3MP6snvFopaaaKSToGh_s__BaVKJS1fhGdp7WcH9JwQ-eIqcFBgldl9QbAZLJF=w300-h225-p"
유메오뎅,1년 전,문병승,지역 가이드 · 리뷰 31개 · 사진 30장,별표 4개,친절하고 맛도 괜찮기는 합니다. 다만 가게에서 필수로 오뎅 여섯 가지 이상 주문 음료 필수 주문을 강제해서 둘이서 간단하게 먹으려다 사만원 나왔음.  원래 오뎅바가 이런가? 싶지만 이런데 안가본 나같은 사람들은 모를까봐 적음,
유메오뎅,1년 전,김연욱,"지역 가이드 · 리뷰 794개 · 사진 2,304장",별표 3개,일본식 오뎅바와 비슷하지만 다른 한국식 오뎅바 느낌. 인쉬운 점은 오뎅국물은 좀 더 따뜻했으면 했고 오뎅 종류도 더 많았으면 하는 아직은 준비가 조금 덜 된 듯한  아쉬움이 있다. 일본식 오뎅바지만 예약 시스템은 한국식으로 개선이 필요해 보인다. 이제는 추운 겨울인데 밖에서 막연히 기다리는 것는 아닌듯 하다. 한국의 옛 대포집을 현대적으로 재해석한 음식점이 생겼으면 하는 생각을 들게하는 곳이다.,
유메오뎅,11달 전,Bumsang Kim,"지역 가이드 · 리뷰 1,184개 · 사진 9,479장",별표 3개,<유메오뎅>에서 각종 오뎅...,"https://lh3.googleusercontent.com/geougc-cs/AB3l90DpZUSkw-Rh5URDTh_vAPb1xrem7LH6HKz5FLf9WszWqmktXEv0GudvmDDlHvaFzh4ea_Gt4NZuz1gg7D-fa7pjJVfi6JgHLkSlQy4JUIyhQ486dKa4wtH4FDUCB--QX3OH_1s=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90BhexX6YS4ak2Kn4_uIP2X2b8SNevD4pedt_hMxcp3xsURhl1tJIb00pCroRGJqHblLmGabTXvld_M7MHGredaXQR6V0aNE6-ZEA4mk6o44Va2LNLCKSE1UWcmQ4_Ywsolg_yVcXg=w300-h450-p"
유메오뎅,1년 전,Toong C.,지역 가이드 · 리뷰 35개 · 사진 17장,별표 5개,"오뎅은 새벽 1시까지 영업하고, 맛있는 수프, 좋은 서비스, 영어 메뉴가 있습니다.",
헤비메탈,2년 전,MiraeNurin AbangYong,"지역 가이드 · 리뷰 379개 · 사진 2,078장",별표 5개,"속주로 유명한 헤비메탈 기타리스트 잉베이 말름스틴의 Far beyond the Sun을 오마주한 쌈집 베이스의 칵테일, 하이볼 판매소(정의하기가 애매함), 역사상 가장 빠른 속주 기타가 배경음악으로 나오기 때문에 왠지 슬도 역사상 가장  빠른 속도로 마시게 된다.
(리뷰를 몇 주만에 쓰는 건 주소와 상호를 몰랐기 때문)
강!력!추!천!",
헤비메탈,1달 전,Ivan Rubin,리뷰 4개 · 사진 2장,별표 5개,"이건 내가 서울에서 찾은 최고의 헤비메탈 바임에 틀림없어
호스트가 매우 친절하고 노래를 요청할 수 있으며 음료도 훌륭합니다.
헤비 음악 애호가를 위한 필수 장소",https://lh3.googleusercontent.com/geougc-cs/AB3l90AcntCD3FRtcbuI8ZLYDdtnvIC3BcZDOMW_82sOFufSHtfQK2el-ag-su-V0HeoXw5fgCNBmTPRvzyMoHdjUGjFmdSQXJvyRKc-E29qPcNwpvpOq-5GyOEToZ-TVhOoXvuZcRf6=w600-h450-p
헤비메탈,7달 전,Aist? P.,리뷰 3개 · 사진 9장,별표 5개,"대한민국 최고의 메탈바일 뿐만 아니라, 10년 동안 철봉을 돌아다니며 만난 가장 친절하고 친절한 주인이기도 합니다 ????그것이 당신이 추구하는 것이라면 적절한 익스트림 메탈????…","https://lh3.googleusercontent.com/geougc-cs/AB3l90CwX-qzQUMa0i8K2j7u7SEGsrPTvAaRqBZR7a9neOJGiHDK6OXSEKO6QMh1431CJz0k1YVPrKD6aGjJZBwjrDWVDW-uDAksXNgFk5rBfrMgCT15KFO9fIkOnGF_rFeb7HdkQLfqMQ=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90C8EMWH8OUNaUDftobK_j0kv2wPV5kOz6E7W5fCLGDSJgBFDiM5tnY7Z91wbMVgDxpc5UJ3znWkYAD2fJE4EqGj9S9hmV7FrCm7GKMr3LYIVT6WvOhWTPHkzxiFUuSzCRDhH4zP=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90DCk5FH4DY6T_6-1i9re5T-zz7Kl3SJyFpzZjkoO-bDgY8yaFHv_9r6bzx2JgUc1iB5MMN-Cm6WmTzZ_OCPPatWZiy3L-h8Bcf0pldZBFwzYcR2qN_6ZYyVEMHhydJiONcoSh9Q=w300-h225-p"
헤비메탈,1주 전,Kjartan Kristoffersen,리뷰 1개,별표 5개,"5월 14일에 방문했는데, 진행자는 진정한 메탈 음악 팬이자 정말 친절한 분입니다. 손님들도 친절하니, 그냥 편하게 다가가시면 됩니다. 쇼를 진행하시는 분께 진심으로 존경을 표하지만, 음악과 게스트들을 정말 사랑하시는 것 같습니다.",
헤비메탈,10달 전,Kawaii Cho,지역 가이드 · 리뷰 64개 · 사진 159장,별표 5개,"우와! 이건 정말 헤비메탈이에요!
좋은 직원이 있고 너무 비싸지 않은 멋진 장소.
당신이 좋아하는 음악을 재생합니다.","https://lh3.googleusercontent.com/geougc-cs/AB3l90BoMiRePjEEMbKYgZhynTUlbAV3LcunkqvBQo4o1FFmjXVeaKV3XCuwMylYuKpETBlhfwGcnlyEPmvX2ZtL6jwkfFqzV2yPsP9oF4v9qMgRHriH531BgU7NH5WRhFVm9VaWds4=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90AbWILu7hXzWf4M_wT-VZe2y_KkwnJRtkQYn3S-FRmyRXoU3EV74uZoHird6xVkq4CRoMS6neH1874Zsxf4jTJjN18JWBAEocu_uasH9r9UVZ52a0GFgqlLkdkh-smT-d-s-oiu_w=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90APD3TJPCagXLPd_N1Y-ShZKqTWiUrSukMkCD2ENYvUlRN1svj_0BKKs3YDnA4IfU8I3nm4eUfHYFhj0rPtjRz0OIT3I1ZVOfaDqJf8VROV-Bi2HxFWe7ah6OjaWrx4JKCbdn4G=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90DH6ibVFDMWGa-KXfQhPFVg8qVuau8DAVyZC_FYFMvZp3JFKVupcJGN0YxatvjCKJ8aiQGWAJuvmHWbVppOjkf5HQ2EsvmEj3vhghM5x1MbW8SY-rFf1BKJLg5EXLt0Z5UfbVyE=w300-h225-p"
헤비메탈,4주 전,Jesus Campos,지역 가이드 · 리뷰 21개 · 사진 55장,별표 5개,"훌륭한 음료, 주변 환경 및 음식.
놀라운 장소","https://lh3.googleusercontent.com/geougc-cs/AB3l90CFufU9szwdt4dzkZEpvlej-nC9VqvpYgEfgVWSVi1WKZrIjg0y8BVC2Takl_p3gOj6Jr3IS24sf8FojoE8ZsNv7VQrrZbk8-cSEUCCDe4ajRwswJdZo6otw15HcPIo9pbkT9ao=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90DenyYoBqG-yB6Vs3lVReHxkAup6GEnphmH1T4knc60tpJ-V5Ex1AGwlDsp5qHPHyLTwu0ZbG4q_OmiC6EzZei8geWKCnIXfgciA-UFZrXc0ifQorpb_h26QRqqQuDgAMToDjia=w300-h450-p"
헤비메탈,9달 전,Kenneth Garcia,리뷰 6개,별표 5개,과연 헤비메탈. 제가 서울에서 메탈 씬에 맞는 유일한 바를 발견했습니다. 소유자는 훌륭한 사람들이며 분위기는 제대로 하드 코어입니다. 이것이 당신의 분위기라면 즐거운 시간을 보낼 것이 보장됩니다(당신의 분위기가 아니더라도 독특한 경험을 확인해 볼 가치가 있습니다).,
헤비메탈,7달 전,olss0nftw,지역 가이드 · 리뷰 72개 · 사진 17장,별표 5개,여기에 와서 매우 기뻤습니다. 좋은 음악을 들려주면서 즐거운 시간을 보냈습니다. 나는 확실히 여기에 여러 번 갈 것입니다!,https://lh3.googleusercontent.com/geougc-cs/AB3l90C2av5Tej6ZAJ_3xV1-nfPjlBs9YwfD3GrauchYfscZs4F0QlO9w5MsG-hrHONSK0W6piRUlrxo-hwEw4k27DSMHpBAYMp8r_QAti1xxGY8s_h5jMBck9Bvj8GiCteFp-yKz-kv=w600-h450-p
헤비메탈,8달 전,Areg,지역 가이드 · 리뷰 71개,별표 5개,"단연 서울 최고의 펍: 매우 친절하고 도움이 되는 직원, 그리고 마지막으로 선택 가능성이 있는 Metal MUSIC을 재생할 수 있는 곳",
헤비메탈,1달 전,Paula krass,리뷰 1개,별표 5개,"차분한 장소, 무거운 음악, 멋진 분위기",
헤비메탈,1년 전,TRS,지역 가이드 · 리뷰 20개 · 사진 5장,별표 5개,메탈을 사랑하는 부부가 운영하는 훌륭한 메탈 바에서 저는 그곳에서 옛날 프랑스 ROTNS를 포함하여 가능한 모든 상상할 수 있는 음악을 연주할 수 있었고 그들은 그것을 좋아했습니다. 적극 추천합니다??…,"https://lh3.googleusercontent.com/geougc-cs/AB3l90CZqeZrlL2ofrWlvK42a47VhLGjhhR7br8vRu1Kh1_oMcCKuXZt4K0zyGND7lrObA_KL_gv0Oy9LKfPo_sJf-biANKUDIRbYJNy9uTAelvPQLdBOpzrmOFHZqizUhFLcFQ5DDiW=w300-h450-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90BwB5L4QB5YSmJsUcJhOwnQFFIDaRDNlUXjppH5Hmqabyf2fjyNIOrv9iGKTC5KF0zzb29GGXUiWjaaqS1svhzdU6aag8y6S8Xryg25kFLsKU6qvLxussPR0yltHmyxP3PFx0Jp=w300-h225-p
 https://lh3.googleusercontent.com/geougc-cs/AB3l90Bh0RXLJhT8_rGyIzrqUqFm-1ZMJA-R0_kiQKaDUmPUb8OGkLLYKNkGAJEGM9KCE-h6OVjvXQsimhF_qnWG9bSYqaoD8Ptp7teW3iSw6LwGJWqMk5oLMX94TuI8u-8V4xCmF5oz=w300-h225-p"
헤비메탈,2달 전,Paul Egal,리뷰 3개,별표 5개,"정말 멋진 바예요
정말 멋진 음악이네요
정말 훌륭한 호스트입니다",
헤비메탈,2달 전,Bazz Kool,리뷰 1개,별표 5개,시원한 분위기,
헤비메탈,6달 전,faisal noviandy,리뷰 3개 · 사진 2장,별표 5개,메탈헤드에게 좋은 곳,https://lh3.googleusercontent.com/geougc-cs/AB3l90CPTK2fG9D2BfappmK-cuASqsiNQCjd_xMIqKlj1Uud8hf7UN9hTBt8ST84a36N2U5ZPM1qDh8zsBoihu0GeAEmuDr0fhccn_DCWqvu9zsXNV6nx8P8y2TrlylXa6ksjCT6AsN5=w600-h450-p
문일리(moonily),4년 전,Sol April,리뷰 7개 · 사진 2장,별표 5개,"하와이안 겁나 맛있어요
동네 맛집 생겨서 너무 좋네요
매운거 좋아하시면 디아볼라 꼭 반반으로 드시고, 아니면 페퍼로니나 메가크런치 추천이여",https://lh3.googleusercontent.com/geougc-cs/AB3l90CZFYdevKsDPQog9IZ1sAbAsNa1idw379-3W-6BoTIH_m8pT9hGsVzQu_iopNM9C9Ie9eKhvFPQ19ZI5qDb8nkVbt3YuK3yC4XHW863oTeCCdVhj7mHOcW40_oCGFBiWNJy6mpV-A=w600-h450-p
문일리(moonily),2년 전,Bab Bab,"지역 가이드 · 리뷰 813개 · 사진 2,474장",별표 5개,피자가 맛있네요. 도우도 두껍지 않고 바삭하니 맛있습니다.,https://lh3.googleusercontent.com/geougc-cs/AB3l90B3hYDKo5OzsIohbNiSJdYVdQ2Qte5RXtOGp7mNxwkMy_sUpzZNXtvz-5FP4nQ4nBL99i4JSkrGp_kUZpCYQgxPlBNVZvEH9mmguMrOETQrENCYrs0qNBPp7DrBsHA_jjdwxUec=w600-h450-p
문일리(moonily),4년 전,문혜원,지역 가이드 · 리뷰 27개 · 사진 26장,별표 4개,맛이따 가격도 착하고 치즈 듬뿍입니다 하와이안 추천입니다,https://lh3.googleusercontent.com/geougc-cs/AB3l90BMuqUdUQXSwANZR1XCLJrC4C7pNFSCzjAw9BwPg30SKu667bxUoF2WDLgnFhanvhqKtS3W2TiC71Q2qMmbxAWEbl47cOIQ34nLsZwG-hU3oy5OEKRahp9VIFQuDkufGgC9o2FZ4w=w600-h450-p
