사업장명,작성일,작성자,작성자 프로필 링크,작성자 정보,별점,리뷰 내용,이미지 링크
연남술비,1달 전,신수연,https://www.google.com/maps/contrib/103442819115387995791/reviews?hl=ko,지역 가이드 · 리뷰 20개 · 사진 31장,별표 5개,연남동에서 어디갈까 찾다가 방문했는데 살치살 스테이크 메쉬 포테이토도 너무 맛있고 모차렐라 김치필라프도 너무 맛있어요. 분위기가 좋아서 자주 방문할 것 같습니다!,
연남술비,1달 전,Ja Yeong Choi,https://www.google.com/maps/contrib/114225137226425676195/reviews?hl=ko,리뷰 7개 · 사진 7장,별표 5개,우연히 친구 추천으로 방문했다가 너무 좋아서 리뷰 남깁니다. 분위기 있고 음식도 다 맛있어요! 직원분들도 친절해서 기억에 남는 곳입니다!재방문하겠습니다.,
연남술비,1달 전,박미진,https://www.google.com/maps/contrib/115886651680546487804/reviews?hl=ko,지역 가이드 · 리뷰 12개 · 사진 3장,별표 5개,"데이트 코스로 추천 드립니다 ㅎㅎ
저녁쯤에 방문해서 간단한 메뉴에 술 한 잔 하다보면 연인과의 사이가 더 좋아질 수 있다는,,,♡
분위기도 좋구 가격대도 착하고 즐거운 시간 보내다 왔어요~!",
연남술비,4주 전,최핑핑,https://www.google.com/maps/contrib/115694585759074780128/reviews?hl=ko,리뷰 4개 · 사진 1장,별표 5개,연남동 데이트코스로 다녀왔습니다. 여자친구 데려갔는데 좋아해서 다행이네요. 어지간해선 리뷰 안다는데 그만큼 만족했습니다.^^,
연남술비,8달 전,박채림,https://www.google.com/maps/contrib/118391095781852107725/reviews?hl=ko,리뷰 1개 · 사진 3장,별표 5개,"연남동 산책 하다가 들어갔는데
분위기도 너무 좋고 음식이 퀄리티 미쳤습니다...
배가 불러서 다 못먹어본게 아쉬워요 ㅠㅠㅠ
여기 친구들 모임이나 데이트로 좋을거같아요","https://lh3.googleusercontent.com/geougc-cs/AB3l90BaKkXhkSQr_keP6vPaHRNgPsFIwvB3tnWWy6KJipdy-z7E54-ccoakhNW6Z3o_qIKHbrzJODOJKjVUUMpBYJTHAoGETPHH_4Yk9RjzZOm23bs-2_M2YluYm78YQlCADLYYREQ=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DCXjygnqVFCCkTPA8ncdp5GM-2AYzobI8tYfaxyYv-Pv8c_MJlkPt-yXXjYBuje-SJdcRTuExdazNzGkacem_wpCn1_fUjxA-v5wIJifTbvZ0Q7QpxM0qqvlcgPLFmkjdirxLg5w=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BL8ntE4ZmM5CUjswRvx8C0yIslbq1rbp4w1oIE2qWXgArAJUhC1fChHE1wfk0mQODL1RMgAqYOG5utwmeeVp2mct_vJLL6dXN530YU6hrJ8QYXo44QMiR18e1VAA9myWk5QmC4=w300-h225-p"
연남술비,1달 전,송카투,https://www.google.com/maps/contrib/106179328286475733223/reviews?hl=ko,리뷰 2개,별표 5개,친구랑 연남동 갔다가 분위기 좋아보여서 들어갔는데 장난아니더라구요! 맛이며 분위기며 합격???? 집이랑 가까워서 다음에 또 오려구요????…,
연남술비,2달 전,홍연서,https://www.google.com/maps/contrib/107779010720722405136/reviews?hl=ko,리뷰 2개,별표 5개,"시킨거 다 맛있어서 넘 감동..
특히 감자채전이 너무 맛있더라구요!
재료도 신선하고 칵페일도 너무 좋았어요~",
연남술비,1달 전,최선,https://www.google.com/maps/contrib/116186653494612501415/reviews?hl=ko,리뷰 3개 · 사진 3장,별표 5개,"데이트 하러 갔는데 분위기 좋았고
술 종류가 많아서 취향대로 골라 마시기 좋았어요
감바스가 맛있었어요",
연남술비,2달 전,플러수,https://www.google.com/maps/contrib/116561356571063778730/reviews?hl=ko,리뷰 2개,별표 5개,"연남동 갈때마다 들르게 되네요~
인테리어도 멋있고 음식이 다 맛있어요 ㅎㅎ
갈때마다 실패가 없어서 추천합니다.",
연남술비,2달 전,sunmee choi (밍블리),https://www.google.com/maps/contrib/111476190906506083699/reviews?hl=ko,지역 가이드 · 리뷰 22개 · 사진 2장,별표 5개,"소개받아서 방문했는데 분위기도 너무좋고
음식퀄리티, 맛 모든게 완벽하네요 ㅋㅋㅋ
저녁모임하기 좋은장소에요!!",https://lh3.googleusercontent.com/geougc-cs/AB3l90CkiKp1t0KH374u7J03d49x-Ku5WYXatk4bUVk6CXCCeY-BhvJLie7WiEWPhM4WclCwUCeXR5es6jM0cUBVnJwNFlfe8plp2YOMDZUHOzkKG00ezwAfmwCC8_VrdF_sQmAN5fQWxQ=w600-h450-p
연남술비,3주 전,이세영,https://www.google.com/maps/contrib/109092550315929027134/reviews?hl=ko,리뷰 2개,별표 5개,여자친구랑 방문했는데 맛있게 잘먹고 갔습니다:),
연남술비,3주 전,행찬이,https://www.google.com/maps/contrib/112648055691037168639/reviews?hl=ko,리뷰 3개 · 사진 1장,별표 5개,나 술비 완전 러버임.... 며칠전에 친구랑 가고 2번가도 좋음 ㅠㅠㅠㅠㅠㅠㅠㅠ,
연남술비,2달 전,joy,https://www.google.com/maps/contrib/116254825469434935629/reviews?hl=ko,지역 가이드 · 리뷰 31개 · 사진 99장,별표 5개,"아늑한 분위기와 놀라운 칵테일!
창의적이고 맛있는 칵테일과 함께 따뜻한 분위기를 느낄 수 있는 연남동의 이곳. 친구나 데이트와 함께 편안한 저녁 시간을 보내기에 딱 맞습니다!",
연남술비,8달 전,Stephan Sasse,https://www.google.com/maps/contrib/111917799185872676746/reviews?hl=ko,,별표 5개,"안녕하세요, 설비입니다. ? 소중한 후기 진심으로 감사드립니다. :) 설비에서 보내주신 소중한 시간이 소중한 추억으로 남을 수 있도록 앞으로도 최선을 다하겠습니다. ???? ????",
유메오뎅,1년 전,SEOWOOlog땡큐뽀유,https://www.google.com/maps/contrib/110078615394043003743/reviews?hl=ko,지역 가이드 · 리뷰 52개 · 사진 166장,별표 5개,"핫플이니만큼 웨이팅은 당연히있구요
사람들이 많은데도 불구하고 직원분들 모두
웃는얼굴로 친절하게 잘대해주셨어염…","https://lh3.googleusercontent.com/geougc-cs/AB3l90BXv5UOnvLjm3jlllhZbFBN-isCWhdAJ8M8JQ30BcfYC3l1rj7HXt3lTKd0fQWIdtX3-ax7hynWFssWxxzoOPqMLCF0nDzNfx_JlfoDzEC2LesPMVeNoCIouwzprKL1Hq29gag=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BGUdLXFhhKrjmKOfhtWZLq-ynmPDWrFT1i6CHGOyDvDzXPqJs0K1NfqGs3FOvCrFqqueW8TBGihlVQNTcpoI7jCGsgTlQ_wCWUyYDzX5SJJ4450--NipGPIXdzgDkoP8DuB3N-=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CytAzUAVHMriCrCVRfSYQ4QaZjhMR0e60-BUFmF1MymR4zdYLP8lEdLzenEFuRvP3_8-q1UNZPUiaJtqYpbERDlSaZmcsNwBli5fqkYEwzUdOkqVNa1dZTg-lPW8QX2pLqMDy4=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90D58t1KnFYFfWUz_6nZGMWPCyrBF9a_fXqPwszwkvnF-W_HkQXEv9zb62PGhtlQ7sQLTTRdil6iA4XHODnskDWtbbHNtQFpmRQ4KC63CrJfo_5Gy_ffi8yV4oAJ67MP9qLl9U7OUQ=w300-h225-p"
유메오뎅,2년 전,Lina리나,https://www.google.com/maps/contrib/106170696251605505261/reviews?hl=ko,지역 가이드 · 리뷰 115개 · 사진 915장,별표 5개,우연히 길 걷다가 들어갔는데 메뉴도 다양하고 맛있었어요!! 유자하이볼이랑 표고버섯튀김 감자고로케는 다음에 또 먹을 거 같아여,"https://lh3.googleusercontent.com/geougc-cs/AB3l90ACDxmvrUhT5VCiFl5eVo2LDjYuXV0-6_1073rkro9ubthuTw9iw-5qSDanYO94Af03tSwHFQsws7ISr2yU78_V7YT0KJQNMA1X_t7RwpZBiT26GmQrM_TmWr0E8RwIAlhw31BM=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BrkxAUItZraGqXr8XAVDrm1Y2F5Dg0zDO56F7eh5ids7D_vXuVTmIU8FqAZBBCLfXzN4p2tyBTgPCwsivgam1xSM0-u-nRU5M3BzD9FUIS2wplym1Tr0OqFNAxoetjzCW6QHKc=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90ADNC16mRTcciuT0gEBiNpwbCNzWy4RRhh_ARrE75eHESmcn7FiKM7k7AzT2s6QHrfmdOZsd1uFx_i5IawUJnx7371iQ3iNTH7c9bnBSmMoiIbQfZUCGjPkonN5KJg6v93H1_fy=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90Bh4A2qqdf78-7F6pY87sxbap69I1B9AmqbaQUuVqGPkcXvjp1GtlHWh6Y58F1U6viZ4Qp0ya2TJ3Hzsvxja6B91Li0aY0TlyffkZ6esoSMv8GPN_8Sz5ntnxWvlnmfn94CKHN6=w300-h225-p"
유메오뎅,5달 전,Nana,https://www.google.com/maps/contrib/113246485937117567477/reviews?hl=ko,"지역 가이드 · 리뷰 304개 · 사진 1,555장",별표 5개,좌석 좁고 시끄럽지만 오뎅 맛있고 친절해요,"https://lh3.googleusercontent.com/geougc-cs/AB3l90A_xoadXZPRqV3iTOIJ01_o_PlX2PZLQHcI_NtdXjIvOqklIXutNcEvkebzq_B2DdRME0SB_NbK5pCNSW7aI816sRfYKfmkTcA9RdXGcgsDS6uaPUab2HFlkB_0WFNFnhzzs6o=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BGxi2VP-UpUt7oXZYgiC8U6XULYUjXHegnjkjGBll5-BPGuBDVArL6xQNwcup8o7XjeCrtx5TOXrlCbh4Mx2CnLj4iSaFFZ8wl03IE5siFUABoLEJH5sL__Yn5YwiEwSn8ViHL=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DEDoXT-mfRWexlG-k9_vETkYjI_cc96Kpytij37VjkGcDy5PtHA0N98Clb2ZXgNXyxOYl-z8dtSBj2bC2CADUe76u4jdpcshpB93rKPMsS8ITbgLHhfipjZakgX0FCdHigEwiJ=w300-h225-p"
유메오뎅,1년 전,문병승,https://www.google.com/maps/contrib/102645049452120359699/reviews?hl=ko,지역 가이드 · 리뷰 31개 · 사진 30장,별표 4개,친절하고 맛도 괜찮기는 합니다. 다만 가게에서 필수로 오뎅 여섯 가지 이상 주문 음료 필수 주문을 강제해서 둘이서 간단하게 먹으려다 사만원 나왔음.  원래 오뎅바가 이런가? 싶지만 이런데 안가본 나같은 사람들은 모를까봐 적음,
유메오뎅,1년 전,김연욱,https://www.google.com/maps/contrib/115346480384640387186/reviews?hl=ko,"지역 가이드 · 리뷰 793개 · 사진 2,295장",별표 3개,일본식 오뎅바와 비슷하지만 다른 한국식 오뎅바 느낌. 인쉬운 점은 오뎅국물은 좀 더 따뜻했으면 했고 오뎅 종류도 더 많았으면 하는 아직은 준비가 조금 덜 된 듯한  아쉬움이 있다. 일본식 오뎅바지만 예약 시스템은 한국식으로 개선이 필요해 보인다. 이제는 추운 겨울인데 밖에서 막연히 기다리는 것는 아닌듯 하다. 한국의 옛 대포집을 현대적으로 재해석한 음식점이 생겼으면 하는 생각을 들게하는 곳이다.,
유메오뎅,11달 전,Bumsang Kim,https://www.google.com/maps/contrib/108662752474504814274/reviews?hl=ko,"지역 가이드 · 리뷰 1,186개 · 사진 9,511장",별표 3개,<유메오뎅>에서 각종 오뎅...,"https://lh3.googleusercontent.com/geougc-cs/AB3l90CwEjJHBZwaNW1DY51CL-RbeOawkiUBBIFXa7wxNCc4PQePivloPZXn0kDhr87j4hjbI2QjUSY7-QkunL5gpKyD6DjkkAn_D3aQUE-tn_GzXSnrJO1zqpfGQ9IFkMbQEzOsGYE=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BtkBYp4JQDZ2aRy8cE2nIPC11qBeQzSi1hXJ7U6mFIKAo4UMBcj5u_RU4Q4Z-dyr9zTrs1OH14SR44PlnKPFIDbS-bAPBL3B1ToQK9UQCVBgXIpO59Sin9BhzIwFdYFFPa9KkaTA=w300-h450-p"
유메오뎅,1년 전,Toong C.,https://www.google.com/maps/contrib/109774198760069019354/reviews?hl=ko,지역 가이드 · 리뷰 35개 · 사진 17장,별표 5개,"오뎅은 새벽 1시까지 영업하고, 맛있는 수프, 좋은 서비스, 영어 메뉴가 있습니다.",
유메오뎅,1년 전,또또,https://www.google.com/maps/contrib/112927492054519344994/reviews?hl=ko,지역 가이드 · 리뷰 12개 · 사진 18장,별표 5개,,
유메오뎅,1년 전,장은철,https://www.google.com/maps/contrib/110237016028719940999/reviews?hl=ko,지역 가이드 · 리뷰 103개 · 사진 662장,별표 3개,,
유메오뎅,1년 전,a50442427,https://www.google.com/maps/contrib/115415473983434382939/reviews?hl=ko,리뷰 2개,별표 3개,,
헤비메탈,2년 전,MiraeNurin AbangYong,https://www.google.com/maps/contrib/106250697987206040070/reviews?hl=ko,"지역 가이드 · 리뷰 379개 · 사진 2,078장",별표 5개,"속주로 유명한 헤비메탈 기타리스트 잉베이 말름스틴의 Far beyond the Sun을 오마주한 쌈집 베이스의 칵테일, 하이볼 판매소(정의하기가 애매함), 역사상 가장 빠른 속주 기타가 배경음악으로 나오기 때문에 왠지 슬도 역사상 가장  빠른 속도로 마시게 된다.
(리뷰를 몇 주만에 쓰는 건 주소와 상호를 몰랐기 때문)
강!력!추!천!",
헤비메탈,1달 전,Ivan Rubin,https://www.google.com/maps/contrib/110172777417574483510/reviews?hl=ko,리뷰 4개 · 사진 2장,별표 5개,"이건 내가 서울에서 찾은 최고의 헤비메탈 바임에 틀림없어
호스트가 매우 친절하고 노래를 요청할 수 있으며 음료도 훌륭합니다.
헤비 음악 애호가를 위한 필수 장소",https://lh3.googleusercontent.com/geougc-cs/AB3l90Ak2bi6AKEnwY9_N-DQMdKnMKTX5daYaMw7V0WCQFN3BlK_gepsJKbHAc9Bv6Qtek5A4XCJtWQeIFBCawgq-zR1oGvxWGiCSap48ktHgmxk-A-I7rhI_wSPq7OhI5IMlRPimjxF=w600-h450-p
헤비메탈,7달 전,Aist? P.,https://www.google.com/maps/contrib/111174434981732698146/reviews?hl=ko,리뷰 3개 · 사진 9장,별표 5개,"대한민국 최고의 메탈바일 뿐만 아니라, 10년 동안 철봉을 돌아다니며 만난 가장 친절하고 친절한 주인이기도 합니다 ????그것이 당신이 추구하는 것이라면 적절한 익스트림 메탈????…","https://lh3.googleusercontent.com/geougc-cs/AB3l90DBbZjSicJk_odZkcSiaPd93S9HDB-SLtZCXK0oJcxn3s56vRVBiUWlhkwLdzG9fvcbpZCjVSBcfCVyKO1OCBhGy9Rp7cYLUYxLai2OG-Lu8RgcJJpinKPQjAjamY7GVrk55jEG7Q=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C1kCgIWrwvV2VNyOgGLFSwbozfPrGv2a1BUIaQw5-1kJm1yPWuTeFUpE_xxf46HVrwPjk61wZIcwVbAybiEuSTaMs7JOfhUuzijI7Gj6XnqWVVsTtARGIkNkNY6hcCF0zwQSyg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90C5h3wQILLGPstJBpjRxipSYU_v8fXfo5WtIVyY0zat32Hph_meDOdwLGVTnzSaVmVSyPUCu-naEI7AIANk0XKOEvWJPB1KOTyLLpggj5hHRJQiW2P2ZdEasnAiA1Fh0jSAFrpM=w300-h225-p"
헤비메탈,2주 전,Kjartan Kristoffersen,https://www.google.com/maps/contrib/115958593128571089612/reviews?hl=ko,리뷰 1개,별표 5개,"5월 14일에 방문했는데, 진행자는 진정한 메탈 음악 팬이자 정말 친절한 분입니다. 손님들도 친절하니, 그냥 편하게 다가가시면 됩니다. 쇼를 진행하시는 분께 진심으로 존경을 표하지만, 음악과 게스트들을 정말 사랑하시는 것 같습니다.",
헤비메탈,10달 전,Kawaii Cho,https://www.google.com/maps/contrib/104067753369541809713/reviews?hl=ko,지역 가이드 · 리뷰 64개 · 사진 159장,별표 5개,"우와! 이건 정말 헤비메탈이에요!
좋은 직원이 있고 너무 비싸지 않은 멋진 장소.
당신이 좋아하는 음악을 재생합니다.","https://lh3.googleusercontent.com/geougc-cs/AB3l90BMxGIybsee4yBQhPnpglFgmlLOaxsD9T1njWa5I14Brq362yK-pMaWKxye9QRaNmQ-iiN5ct3BTAk4NJQOkKP5cTSurTIfehnrOIQQuAWTWmYEe25DG5UCJkt8u5uCeWzHMjA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90DBrTcUMUvvyQh5TjnELMmRPnSujBQNeH5KZ03S_eNpPeEDt-WsEE_efxvjRSnAUPJdqnmwyc9WLvP5mvRfY8YGP_n7mKLxq5Dz27bzM7jDUM1-8pZzF1Z2qJVmrhw1DGDn01ZZeA=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90BxmE7cSldYzDZb-0aMvOp07XGCNyEskH9bR_vRQJJuMNAyH8m78ADHtABJ5XV3gaH9PLzABTt8ewEzpnXSV6l5FciUsQMe0RCuT_2bX1eso775irNfbAU2LC1Y_YfJAjcoVLOg=w300-h225-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90CTTbPg8KrsUZpcjI86QiZdzUFrSHJZHfUGiH_fbXFXGkwqzrXtJtbPn37iSezb1Y5oz5xE7UqzndTHPfSIxuY3s7wN_9jvUcTFw-kln37k3NMFJnUKgpM1hb4eepNVjImBwCoP=w300-h225-p"
헤비메탈,1달 전,Jesus Campos,https://www.google.com/maps/contrib/111576807883180556971/reviews?hl=ko,지역 가이드 · 리뷰 21개 · 사진 55장,별표 5개,"훌륭한 음료, 주변 환경 및 음식.
놀라운 장소","https://lh3.googleusercontent.com/geougc-cs/AB3l90B6DI56tVX-Wz31JAoO8MaTFTypgrYW8VMadM8CbHlRaHuglpWvfrahqnLOydCktZ948d6H64FogVOTFSfXeRkF6OlSFP4xgUk1Hu6JGRRM9cHfJnin5mk9foq9zcih4UpQvXyx=w300-h450-p, https://lh3.googleusercontent.com/geougc-cs/AB3l90AibjUIdZza9lKdsnS5UiXCsICmMVWWi5tM_aHK07Pazf6d-0S9OhCLYGSMsRZvQzKTlLlrbbiK7r1vkVZ9mnYZBNeK5AnHp-Lbx7_zPLxUyO9v4pnrQ9uco1pbgEFgNAloPgUX=w300-h450-p"
헤비메탈,9달 전,Kenneth Garcia,https://www.google.com/maps/contrib/102346715406867229199/reviews?hl=ko,리뷰 6개,별표 5개,과연 헤비메탈. 제가 서울에서 메탈 씬에 맞는 유일한 바를 발견했습니다. 소유자는 훌륭한 사람들이며 분위기는 제대로 하드 코어입니다. 이것이 당신의 분위기라면 즐거운 시간을 보낼 것이 보장됩니다(당신의 분위기가 아니더라도 독특한 경험을 확인해 볼 가치가 있습니다).,
헤비메탈,7달 전,olss0nftw,https://www.google.com/maps/contrib/105081751543539579222/reviews?hl=ko,지역 가이드 · 리뷰 72개 · 사진 17장,별표 5개,여기에 와서 매우 기뻤습니다. 좋은 음악을 들려주면서 즐거운 시간을 보냈습니다. 나는 확실히 여기에 여러 번 갈 것입니다!,https://lh3.googleusercontent.com/geougc-cs/AB3l90B-89r3bmlHHEOnMZQpU3nj9RXDZMDXM366Brr5O59rQ53Sc7NovANJXMxj6DJN9iXs5At361qyvcRJQ7jVJLoYqIEp7frzHFpLvfM2p3dN2eFffcawnPMD9UfZ3KgJdaCj6RoL=w600-h450-p
헤비메탈,8달 전,Areg,https://www.google.com/maps/contrib/118280638563732282595/reviews?hl=ko,지역 가이드 · 리뷰 71개,별표 5개,"단연 서울 최고의 펍: 매우 친절하고 도움이 되는 직원, 그리고 마지막으로 선택 가능성이 있는 Metal MUSIC을 재생할 수 있는 곳",
헤비메탈,1달 전,Paula krass,https://www.google.com/maps/contrib/110084091840124455431/reviews?hl=ko,리뷰 1개,별표 5개,"차분한 장소, 무거운 음악, 멋진 분위기",
